<>	1	2	3	4	5	6	7	8	9	10	11	12
A	0.947	0.969	0.938	1.015	1.023	0.961	1.034	0.943	0.932	0.945	1.005	0.035
B	0.992	0.986	0.991	1.001	0.982	0.988	0.998	0.984	0.835	0.890	0.970	0.037
C	0.976	1.026	0.946	1.019	1.017	1.031	1.020	1.023	1.026	0.971	1.003	0.036
D	0.996	1.023	1.032	1.032	1.018	1.013	1.025	1.031	0.983	1.023	0.996	0.037
E	1.016	1.028	1.037	1.028	1.036	1.033	1.019	1.046	1.029	1.030	1.069	0.036
F	1.010	1.035	1.006	1.011	0.963	1.006	1.009	0.988	1.007	1.035	0.996	0.037
G	1.018	1.028	1.008	1.008	1.026	1.005	1.028	1.036	1.049	1.027	1.010	0.036
H	0.991	1.041	1.039	1.027	1.033	1.023	1.045	1.069	1.039	1.038	1.036	0.036
