<>	1	2	3	4	5	6	7	8	9	10	11	12
A	18162	18298	16829	19648	18815	18146	20688	15379	95	101	91	37
B	19274	17595	17589	17761	12216	12140	11892	10826	87	96	90	37
C	19250	19675	15665	17929	7068	6792	6510	6341	107	103	91	36
D	18632	17691	17901	17371	3697	3675	3629	2518	102	109	92	36
E	18616	18637	17902	16865	2038	2025	2212	1549	104	111	93	36
F	18602	17002	17234	15541	1257	1339	1292	1218	104	107	96	37
G	17649	15660	15263	15201	1075	997	1260	927	106	107	92	35
H	16234	16138	15306	16121	875	871	856	824	104	106	91	35
