Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
C9	5	12	15	17	18	19	19	20	21	23	25	26	29	34	40	48	56	62	66	74	81	90	101	111	122	131	144	156	169	184	198	217	232	257	274	289	306	328	349	372	398
C10	5	12	15	17	19	18	19	20	21	23	24	27	31	35	43	51	58	65	72	79	87	97	108	118	129	143	154	167	180	194	208	223	240	260	277	294	311	328	348	368	394
C11	5	12	16	17	18	19	19	19	20	20	20	20	21	22	23	23	22	23	24	24	24	25	25	26	26	27	28	28	28	29	30	30	31	31	32	32	32	33	33	34	35
C12	5	12	15	17	18	18	19	19	19	19	19	20	21	21	21	23	22	23	23	24	25	25	26	26	27	28	29	28	29	29	31	31	32	32	33	32	33	34	35	36	37
D1	4	11	15	17	18	18	18	18	18	18	19	18	18	19	18	18	18	17	17	17	18	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	19	19
D2	5	11	16	17	18	18	18	18	18	19	18	18	18	18	18	18	18	18	18	18	18	17	18	17	18	18	18	18	17	18	18	18	19	18	18	18	18	17	18	18	18
D3	5	12	15	17	18	18	18	18	18	18	18	19	19	19	18	19	18	18	18	18	17	17	17	18	18	18	17	17	17	18	18	18	18	18	18	18	18	18	18	18	18
D4	5	11	15	17	18	18	18	18	18	19	18	18	19	19	18	18	18	18	17	18	17	17	18	17	18	17	17	17	17	17	18	18	18	18	17	17	18	18	18	18	18
D5	5	12	15	17	18	19	19	19	19	19	19	19	19	19	19	19	18	19	19	19	19	20	20	21	22	25	28	35	40	45	50	56	63	69	77	85	93	102	111	123	133
D6	5	12	15	17	18	19	19	18	19	18	19	19	19	19	19	19	18	18	18	18	18	19	19	21	23	26	31	37	45	50	56	64	72	79	88	98	108	118	131	143	156
D7	5	12	16	17	18	18	19	19	19	19	19	19	19	19	19	19	19	18	18	18	19	18	19	19	20	20	21	24	28	33	38	42	47	53	58	65	72	79	87	95	105
D8	4	12	15	17	18	18	18	19	19	19	19	19	19	19	19	19	18	18	18	18	18	18	18	19	19	18	18	18	18	18	19	19	19	18	18	18	19	19	19	19	20
D9	5	12	15	17	18	19	19	20	20	20	20	22	22	24	23	23	23	23	24	24	23	24	24	24	24	24	24	25	25	26	27	29	30	33	36	43	49	55	61	69	77
D10	5	12	15	17	18	19	19	20	20	20	21	21	23	23	23	23	23	24	24	23	24	24	24	25	25	26	27	28	31	35	43	49	55	62	69	76	85	94	103	114	126
D11	5	12	15	17	18	19	20	20	21	21	21	23	24	25	24	24	24	25	25	25	25	25	26	26	27	28	29	33	39	45	53	60	67	75	84	94	104	115	127	138	155
D12	5	12	16	17	18	19	19	20	21	22	23	24	26	27	27	27	28	27	27	27	27	28	29	30	32	36	43	52	60	67	74	85	95	108	119	132	148	165	180	199	217
E1	4	12	15	17	18	19	18	19	20	19	20	21	22	24	25	26	26	27	28	29	30	31	31	32	34	34	34	36	37	38	40	42	44	45	46	47	48	49	51	53	56
E2	5	12	16	17	18	18	19	19	19	19	20	20	22	23	23	24	24	25	26	26	27	29	29	31	31	32	33	33	35	36	38	39	40	42	43	43	44	46	48	49	49
E3	5	12	15	17	18	19	18	19	19	20	20	20	21	22	23	23	24	25	25	26	27	27	28	29	31	32	32	33	34	35	37	37	39	40	42	43	44	45	46	48	49
E4	4	12	15	17	18	18	18	19	19	19	20	20	21	22	24	24	24	25	25	26	26	26	28	29	30	30	31	32	33	34	35	36	38	38	41	41	42	43	44	45	47
E5	5	12	15	17	18	19	19	19	19	20	20	21	22	22	24	24	24	25	26	26	27	28	29	30	30	32	32	34	34	35	36	38	40	41	42	43	44	46	47	48	50
E6	5	12	15	17	18	19	18	19	20	20	20	21	22	24	24	25	25	26	26	27	28	28	30	31	33	33	34	34	36	37	38	40	42	42	45	46	46	47	49	50	51
E7	5	12	15	17	18	18	18	19	19	19	20	20	21	22	24	24	24	25	26	26	28	28	29	30	32	32	33	33	35	35	37	39	41	42	42	44	45	46	48	49	51
E8	4	12	16	17	18	18	19	20	21	22	24	27	29	34	41	47	51	55	60	65	71	78	87	95	104	114	125	135	147	159	176	188	202	217	228	245	260	280	293	317	338
E9	5	12	15	17	18	18	19	19	19	19	20	20	21	22	24	24	24	25	26	27	27	28	30	30	32	33	33	35	35	35	38	39	40	41	42	43	44	45	47	48	51
E10	5	12	15	17	18	18	18	19	19	19	20	20	21	21	23	24	25	25	25	26	28	28	30	31	31	33	33	34	35	36	38	40	41	42	43	43	45	45	47	49	50
E11	5	12	15	17	18	18	19	19	20	20	22	23	25	28	31	37	43	50	54	60	68	75	85	92	101	112	122	134	145	154	167	181	196	208	223	237	253	265	282	300	316
E12	5	12	15	17	18	18	18	18	18	18	18	18	19	19	19	18	17	18	17	18	18	18	18	18	18	18	17	18	17	17	18	18	18	18	18	17	17	18	18	18	18
F1	5	12	15	17	18	18	19	19	19	19	20	20	21	23	24	25	25	26	28	28	29	30	40	32	33	34	34	35	37	38	40	41	42	44	45	46	47	48	50	52	52
F2	5	12	16	17	17	19	18	19	19	20	20	21	22	23	24	25	25	26	27	28	28	29	40	32	33	34	34	34	36	37	38	40	41	42	42	44	45	45	47	49	50
F3	5	11	16	17	18	18	19	19	20	20	22	23	25	28	32	38	43	49	53	60	65	72	89	89	97	107	116	126	135	146	158	172	186	199	213	227	241	255	271	290	308
F4	5	12	15	18	18	19	18	19	19	19	19	20	21	22	23	23	24	24	25	26	27	27	38	30	31	31	32	33	33	34	36	37	38	39	40	41	42	43	45	45	47
F5	4	11	15	17	18	19	19	20	20	21	22	23	24	28	32	36	42	48	52	57	63	69	87	84	93	103	109	118	129	140	152	165	179	193	205	220	231	248	267	285	304
F6	4	12	15	17	18	19	18	19	19	19	20	21	21	22	24	24	24	26	26	27	28	29	38	30	31	32	32	34	34	35	37	38	40	41	41	43	44	45	47	47	49
F7	5	12	16	17	18	18	18	19	19	20	20	21	21	22	23	24	24	25	26	26	27	28	39	30	31	32	33	34	35	36	38	39	40	41	42	43	43	46	46	48	50
F8	4	12	15	17	18	18	18	19	19	19	19	20	20	21	21	22	23	24	24	25	26	26	37	29	30	31	31	33	33	34	35	37	38	39	40	41	42	44	44	47	49
F9	5	11	15	17	18	18	18	19	19	19	19	20	21	22	22	23	23	24	25	26	27	28	38	30	31	32	33	34	35	35	37	38	40	41	42	43	44	45	47	49	50
F10	5	12	15	17	17	18	18	18	19	19	20	20	21	22	23	23	23	25	25	27	28	29	39	31	32	33	34	35	36	37	39	40	42	43	43	45	46	46	48	50	51
