Well	Strain	Hour	OD600_fit
A10	s245s	5	0.0403818387751637
A10	s245s	6	0.0667597398945108
A10	s245s	7	0.107994691617486
A10	s245s	8	0.169017340281706
A10	s245s	9	0.252374541601264
A10	s245s	10	0.354600153032271
A10	s245s	11	0.464603396464668
A10	s245s	12	0.567511673618168
A10	s245s	13	0.651916847339972
A10	s245s	14	0.713988674265587
A10	s245s	15	0.756068343184881
A10	s245s	16	0.783044261570345
A10	s245s	17	0.799723019992823
A10	s245s	18	0.809805492854579
A10	s245s	19	0.815817638481369
A10	s245s	20	0.819373457111161
A11	s245s	1	0.00496452042100202
A11	s245s	2	0.00852702114850122
A11	s245s	3	0.0146017512493039
A11	s245s	4	0.0248761813675328
A11	s245s	5	0.04201637732177
A11	s245s	6	0.0699646653664829
A11	s245s	7	0.113882016158337
A11	s245s	8	0.179036270021489
A11	s245s	9	0.267893933312737
A11	s245s	10	0.376117481163818
A11	s245s	11	0.491148889175979
A11	s245s	12	0.597004802203945
A11	s245s	13	0.682254477147486
A11	s245s	14	0.743833844570028
A11	s245s	15	0.784906335730953
A11	s245s	16	0.810864117281804
A11	s245s	17	0.826714869191367
A11	s245s	18	0.836191454852027
A11	s245s	19	0.841785707454503
A11	s245s	20	0.845063413697451
A12	empty	1	0.00254266707686694
A12	empty	2	0.00212965250372716
A12	empty	3	0.00184429779565327
A12	empty	4	0.00163555155862272
A12	empty	5	0.00147638052550096
A12	empty	6	0.00135113118895439
A12	empty	7	0.00125011193720166
A12	empty	8	0.0011670013937862
A12	empty	9	0.00109750054879412
A12	empty	10	0.00103858385134926
A12	empty	11	0.000988060150873927
A12	empty	12	0.000944303574066629
A12	empty	13	0.000906082252679827
A12	empty	14	0.000872445766393273
A12	empty	15	0.000842649086735323
A12	empty	16	0.000816099920493803
A12	empty	17	0.000792321463345592
A12	empty	18	0.000770925546900093
A12	empty	19	0.000751592945940575
A12	empty	20	0.000734058713219778
B1	s245s	1	0.00859757576671893
B1	s245s	2	0.0140805190777047
B1	s245s	3	0.022964887624111
B1	s245s	4	0.0372060778957574
B1	s245s	5	0.059643220429677
B1	s245s	6	0.094049116532352
B1	s245s	7	0.144678077560789
B1	s245s	8	0.214835791323574
B1	s245s	9	0.304372932813409
B1	s245s	10	0.407365325078104
B1	s245s	11	0.512582729357837
B1	s245s	12	0.607818977374327
B1	s245s	13	0.685028615914073
B1	s245s	14	0.742223396932293
B1	s245s	15	0.781822019857841
B1	s245s	16	0.807971681872074
B1	s245s	17	0.824704970075115
B1	s245s	18	0.835197955542551
B1	s245s	19	0.841694455248945
B1	s245s	20	0.845684916358335
B2	s245s	1	0.00986331625402644
B2	s245s	2	0.0156598771459326
B2	s245s	3	0.0247633302209364
B2	s245s	4	0.0389138131323485
B2	s245s	5	0.0605612675192815
B2	s245s	6	0.0928823507330647
B2	s245s	7	0.139429853612554
B2	s245s	8	0.203097208744992
B2	s245s	9	0.284304345993692
B2	s245s	10	0.379130644981871
B2	s245s	11	0.479086692457251
B2	s245s	12	0.573700645589936
B2	s245s	13	0.654562111181749
B2	s245s	14	0.717853041527311
