Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
A9	9969	9504	9374	9049	8616	8753	8962	9089	9115	9323	9203	9538	9406	9237	9178	9307	9272	9621	9483	9171	9471	9078	9528	9177	9161	9223	9496	9393	9064	9384	9433	9163	9425	9281	9298	9142	9248	9065	9028	9094	9211	9119	9086	8917	9266	9047	9158	9223	9008	9174	9036	8946	9109	8866	8929	8993	9076	9000	8927	9142	8936	9280	8877	9054	9203	8671	8857	9270	9050	8782	9130	9222	9135	8926	8795	8897	8660	9061	8862	9185	8869	9038	8977	8963	8720	8802	8738	8827	8951	9100	8887	9327	8944	9206	9030	9208	9035	8918	8911	9006	9179	8907	9036	8963	8826	8800	9112	9086	8986	9626	9387	9828	9765	9825	10024	10109	10607	10285	10947	11406	11674	11775	12259	12394	12754	12863	13000	13906	13936	14218	14974	15083	15703	15965	16764	17182	17707	17450	18311	18999	19518	19743	20037	20285	20608	21396	21992	22369	22559	23976	23921	24390	25013	25382	25918	25676	26299	27342	27333	27769	29039	28773	29060	30125	29689	30001	31110	31727	31535	32035	32464	32385	33150	33423	34051	34375	35192	35014	35160	35238
A10	10284	9664	9266	9120	9280	8873	8764	8648	8749	8726	8846	8845	8633	8701	8677	8798	8884	9027	8896	9486	9647	9933	9995	10286	10888	11286	11310	11434	12314	12417	12943	13356	13301	13925	14236	14621	15193	15069	15795	16340	16840	16738	17149	17567	17776	18298	18175	19069	19289	19542	19970	20098	21274	20612	21229	21553	22043	21669	22869	22877	23361	23819	23864	24213	24669	25043	25369	25614	26271	26156	27055	27120	27958	27939	28079	28628	28877	29157	29605	29628	30244	30267	30837	31111	31141	31985	32432	32543	32989	33370	33922	33645	34043	34049	35216	34621	35176	36392	36085	35933	36320	37108	36690	38074	37447	38522	38232	39083	39402	39826	40181	40122	40855	41064	41100	40936	42324	42578	42401	43234	42916	44479	43407	44683	44287	44772	44779	45248	45526	45413	46408	46517	47055	47129	48086	47496	48953	48377	48168	48523	48986	49102	49594	49243	50811	50468	50799	51055	51621	50672	51311	51634	51235	51616	52760	52896	53608	54136	52997	54078	54012	53851	53731	54298	53614	54714	54794	54219	54875	56367	55090	55885	55793	55009	57037	55918	56185	56618	57351	56909
A11	10459	9834	9687	9365	9097	9263	8983	9012	8956	9003	8844	8795	8978	8773	8935	9108	9160	9117	9623	9648	10055	10313	10846	10884	11575	12027	12063	12507	13203	13804	14170	14408	14554	15283	15685	15838	16540	16356	16756	17892	18238	18090	18663	19251	19512	19863	20291	21125	21533	21877	22341	22087	22249	22536	23330	23574	23946	24034	24723	25361	25325	25344	25810	26088	26487	27030	27181	28022	28305	28355	28982	28879	29859	29744	29837	30386	29953	30216	31901	31464	31566	32443	32072	32661	32757	33001	34043	34352	34376	35008	34918	35576	35312	35391	36051	37193	36795	37393	37835	37863	37917	39055	39377	38542	39618	39606	40025	41170	40892	41641	41350	41863	42477	42282	43473	42994	44445	43993	43965	44714	44828	45900	45798	45756	45939	46107	46461	46810	47983	47325	47664	47401	47747	48681	48703	48448	49483	49341	49998	49776	50959	51003	51354	50784	50783	52394	50902	52308	51662	51862	52972	53279	52288	53333	52752	53406	53534	54768	54375	54836	54027	54504	54625	55738	55328	55554	56105	56217	56341	57249	55467	56822	55897	56733	56759	56870	56544	57108	56823	57572
A12	9834	9625	9230	8993	8580	8818	8712	8409	8348	8609	8458	8598	8546	8538	8736	8374	8728	8425	8642	8646	9313	9226	9282	9426	9994	9961	10805	10830	11391	11864	12212	12560	12770	13475	14014	14170	14552	15014	15413	15901	16571	17001	17714	18097	19005	18916	19626	20236	20774	20518	21107	21266	22147	22195	23222	22830	23462	23915	24012	24753	24507	25212	25803	25892	26578	26568	26812	26947	28120	28071	28008	28715	28898	28772	28955	29274	29811	29626	30441	30785	31323	32008	31020	32162	32014	32583	32725	33296	33612	34014	33434	34689	34449	35459	34443	35452	35776	36399	36789	36427	36660	36550	37844	37914	38088	37929	39700	40211	39842	39792	40584	41103	41096	41203	41681	41331	42733	42724	42993	42619	43017	43158	44015	43894	43750	43784	44577	44489	45026	44473	45134	46019	45503	46183	46302	46653	46854	47276	47659	46686	47043	47934	47890	47519	48078	47810	47923	48096	48271	48125	48470	49595	48339	49140	49378	49483	50186	50274	50844	50396	49713	50791	51128	51453	51407	50905	51939	52038	52760	52275	52134	52512	52845	53213	53320	53454	53659	54768	54661	54376
B1	10559	10311	10082	9836	9912	9589	9157	8943	9305	9178	9066	9177	9177	9261	9195	8951	9174	9273	9442	9161	9708	9529	9972	9884	10181	10403	10598	11238	11732	11979	12441	12517	13072	13444	13631	13952	14256	14936	15092	15169	15549	15551	16280	16218	16694	16897	17366	17945	18090	18765	18438	18991	19601	19217	20296	20482	21053	21293	21610	22087	22846	22470	22936	22904	24081	23978	24347	25222	25130	25228	26489	27027	27349	27338	27888	28447	28576	28690	29435	29970	29417	30791	30998	31533	31977	32136	32954	33353	33025	33601	33912	34379	34603	34700	35334	35417	36712	36965	36749	37718	37799	37435	38298	38440	39069	39055	39797	40077	40777	41120	41439	41606	41639	43041	42467	42715	43424	43719	44116	44388	44945	45350	45794	46268	45978	46314	46630	46911	46983	47055	47936	47975	48667	49232	49140	49381	49641	49664	50229	50480	51069	51287	51572	50951	51286	51359	51045	52306	53036	53143	52083	53118	53589	54374	54369	54491	55639	55197	55870	55677	56137	56459	56009	56348	57520	57370	56532	56821	57867	58127	57968	57780	58636	58575	58671	59213	58102	58799	58079	58407
B2	10053	10276	10214	10061	9965	9323	9592	8958	9408	9169	9121	9119	9039	9154	9130	8962	9040	8968	8991	9272	9360	9833	9945	9932	10034	10342	10557	10938	11683	11856	12146	12783	12376	13179	13759	13880	14156	14264	14779	15628	15616	15560	15811	16205	16726	16870	17640	17789	17961	17926	18198	18515	18989	19352	19476	20092	20408	20736	21544	21331	21812	21884	22374	22965	23475	23700	23659	24288	24308	25354	25563	25735	26727	26892	26677	27530	27640	27915	28843	29269	28698	29835	29813	30604	31009	31660	31931	32326	32583	32455	33874	34095	33839	34182	34779	35781	35495	36468	36210	36804	37424	37319	38383	38608	38699	39404	40436	40098	40680	41289	41221	41211	41410	42314	42693	43076	43625	43971	44499	44368	45429	46039	45367	45168	46959	46657	46703	46925	47700	47722	47792	47900	48405	49004	49625	49898	50213	49992	50158	50709	50774	51989	51620	51260	51443	52162	52370	53120	53191	53986	52580	53667	54142	54509	55075	55413	55057	55762	56351	56256	57206	56614	57217	57589	57797	57303	58714	59033	58874	58820	58378	59373	59276	59534	58427	59877	59121	60304	59327	60228
B3	10058	9478	9621	9439	9259	8932	9183	8563	8554	8565	8604	8588	8671	8783	8766	8592	8737	8351	8559	8570	8763	8733	8969	8728	9072	9550	9485	9497	9704	10164	10291	10745	11019	11525	11463	12180	12440	12558	12980	13442	13721	13670	14287	14507	14586	14938	15531	16170	16385	16556	16939	16928	17722	17605	18130	18558	18792	19075	19470	19517	19945	20112	20812	20279	21142	21731	21833	22192	22228	22471	23184	23465	24346	24078	24503	25055	25456	25640	26023	26385	26612	27295	27502	27747	28805	29286	29435	29343	29560	30269	30432	31515	31380	31614	32719	32569	32953	32779	33863	34173	34830	34649	35042	35881	36415	36175	36784	37244	37995	37713	38468	38998	38815	39874	40335	40970	41255	40725	41633	41823	42889	42201	42528	44037	43928	44007	43970	44772	45659	45438	45318	45820	46025	46245	47947	47348	48180	48062	48418	48913	49456	49916	50137	49875	50571	50607	51322	50798	52230	52050	52085	52229	52578	53085	52588	54040	54120	55151	55421	54349	55005	55909	55492	55843	57012	56437	57556	57883	57808	57215	58030	57917	58296	58686	59131	58593	59067	59359	59335	59087
B4	10438	10029	9818	10056	9777	10232	10177	10314	9965	10053	10238	9626	9949	9802	9744	9397	9480	9246	9366	9410	9423	9478	9449	9240	9090	9208	9723	9041	9371	9334	8987	9087	9230	9286	9105	9215	8990	9127	9326	9484	9034	9207	9161	9173	9228	9408	9366	9256	9390	9097	9355	9221	9256	9187	9361	9519	9304	9207	9504	9398	9681	9311	9659	9382	9544	9651	9227	9544	9692	9492	9395	9480	9424	9497	9162	9539	9437	9566	9588	9581	9633	9275	9773	9324	9737	9579	9784	9566	9707	9688	9632	9464	9758	9724	9640	9636	9797	9626	9471	9337	9559	9876	9555	9657	9817	9443	9578	9721	9661	9874	9620	9721	10083	9585	10101	9565	9800	9940	9914	9973	10171	9590	10108	9809	9982	10153	9737	9604	10069	9597	9709	9811	10014	9867	9920	9699	9770	9927	9979	10088	10132	9976	10043	9624	10057	9907	9847	9958	10193	9986	9823	10214	9925	9971	10019	10206	10253	10485	10221	10397	10051	10085	10268	10198	10258	10166	10220	10595	10388	10303	10535	10408	10794	10217	10221	10490	10446	10473	10437	10669
B5	10519	10281	10322	9867	9752	9859	10224	9829	9918	9932	9974	10072	9604	9710	9832	9689	9624	9622	9218	9361	9277	9214	9339	9403	9258	9470	9166	9344	9322	9300	9080	9188	9133	9174	9058	9278	9411	8863	9353	9493	9259	9217	9184	9154	8864	9341	9135	9264	9282	9323	9081	9432	9143	9090	9463	9219	9109	9338	9370	9387	9695	9312	9318	9276	9483	9317	9380	9452	9448	9337	9564	9744	9666	9276	9777	9572	9071	9451	9493	9683	9459	9333	9432	9072	9639	9354	9504	9751	9895	9412	9782	9688	9534	9550	9716	9782	9548	9759	9931	9510	9803	9825	9752	9642	9986	9424	9613	9706	9535	9847	9672	9782	9780	9851	9577	9741	9532	10001	9739	10161	9908	9888	9628	9892	9805	9681	9798	9935	9978	9606	9858	9856	9558	9558	9933	9728	9740	9486	9916	9633	10066	9619	9634	9869	9829	10112	9782	9753	9877	9955	9888	10084	9928	10043	10088	10048	10069	10167	10035	9843	9960	9721	9832	10161	10245	9658	10092	10367	10089	9859	10135	10297	10187	9941	10230	9955	10262	10420	10052	10278
B6	9774	9737	9449	9349	9574	9124	9335	9424	9519	9403	9640	9453	9827	9155	9545	9026	9594	9398	9193	9118	9085	8976	9143	8992	8798	8871	8737	8873	8664	8725	8959	8700	8773	9011	9038	8974	8653	8803	8967	8896	8946	8691	8985	9076	8965	9004	8984	9235	9036	9223	9249	9095	9376	9118	9017	9004	9107	9252	9237	9112	9513	9182	9017	9071	8961	9640	9146	9065	8907	9248	9176	9290	9272	9293	9396	9470	9273	9227	9288	9476	9299	9217	9188	9551	9152	9385	9421	9215	9337	9400	9528	9302	9614	9475	9332	9338	9618	9653	9435	9165	9191	9667	9743	9594	9211	9447	9449	9391	9799	9726	9791	9580	9439	9618	9686	9545	9697	9538	9872	9719	9849	9705	9418	9561	9595	9480	9843	9740	9548	9299	9618	9802	9677	9429	9770	9927	9620	9538	9448	9892	9675	9988	9952	9584	9673	9217	9726	9845	10003	9653	9692	9909	9863	9630	9418	9688	9685	10107	9986	10016	9925	9980	9888	9885	10041	9858	9749	9792	10071	9840	9996	9573	9689	9946	9914	10004	10158	9994	10119	10123
