Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
B7	10710	10458	9815	10026	9598	9450	9653	9713	9677	9699	9898	9960	10138	9773	10240	10156	10188	9765	9915	9962	9863	10137	9972	9805	9889	9985	10138	9656	9820	9706	9569	9627	9956	9734	9618	9420	9379	9444	10036	9710	9534	9671	9672	9471	9454	9828	9709	9584	9458	9710	9422	9789	9413	9788	9457	9346	9766	9489	9756	9286	9608	9702	9698	9457	9522	9506	9351	9068	9586	9385	9509	9298	9600	9204	9558	9018	9305	9228	9416	9211	9410	9578	9414	9611	9635	9533	9616	9519	9581	9710	9208	9552	9545	9388	9419	9317	9584	9689	9713	9306	9370	9393	9368	9568	9730	9755	9555	9738	9871	9554	9900	9904	9727	9992	10793	10592	10935	11067	11304	11464	11730	12257	12271	12780	13096	12885	13200	13601	13909	13983	14502	14921	15397	15586	16427	16503	16544	17005	17557	17970	18277	18567	19098	19523	20177	20113	20841	21212	21683	21893	22349	23236	23036	23886	24207	24736	25266	25949	26627	26663	26411	27210	27171	27807	28811	29036	28777	29730	30171	30512	30423	30797	31354	31060	31539	32171	31830	32315	33114	33277
B8	10399	10428	10064	9924	9460	9552	9725	9402	9902	10088	10109	9891	10092	9984	9996	9784	9752	9923	9739	9983	10013	9655	10138	9811	9586	9922	9826	9661	9851	9584	9512	9725	9478	9534	9457	9460	9571	9629	9665	9635	9362	9369	9867	9778	9599	9754	9428	9841	9587	9575	9718	9709	9799	9526	9766	9674	9627	9548	9312	9538	9640	9769	9334	9513	9355	9712	9406	9598	9509	9836	9429	9553	9335	9490	9364	9495	9390	9444	9405	9557	9620	9594	9523	9466	9626	9581	9816	9355	9420	9381	9590	9560	9409	9426	9470	9349	9200	9286	9712	9361	9458	9358	9658	9263	9451	9604	9283	9328	9239	9495	9335	9554	9281	9437	9383	9346	9479	9631	9488	9584	9583	9480	9518	9896	10017	10110	10126	10326	10210	10552	10591	10804	11052	11115	11613	11644	11835	12476	12771	13031	13377	13752	13916	14515	14521	15350	15269	16082	15988	16755	16864	17358	18014	18202	18702	19049	19425	19860	20110	21396	20913	21480	21731	22598	22855	22998	23487	23884	24312	25307	25042	25547	26218	26746	26675	26936	27110	27551	27747	28025
B9	10191	10108	9720	9447	9240	9252	9134	9113	9572	9295	9726	9476	9744	9809	9635	9501	9621	9630	9341	9633	9584	9640	9765	9397	9520	10009	9518	9124	9295	9561	9333	9247	9140	9283	9294	9056	9192	9391	9556	9305	9448	9288	9323	9200	8992	9570	9534	9421	9475	9493	9237	9349	9558	9267	9535	9219	9318	9822	9713	9343	9521	9243	9570	9119	9494	9486	9473	9464	9513	9264	9519	9537	9477	9330	9458	9472	9893	9578	9556	9672	9443	9582	9539	9548	9564	9555	9708	9666	9603	9255	9669	8982	9238	9481	9293	9505	9569	9068	9280	9210	9681	8920	9282	9371	9190	9367	9031	9536	9486	9405	9623	9871	9563	9693	9524	9391	9266	9328	9272	9116	9630	9661	9501	9497	9264	9778	9497	9609	9648	9436	9376	9471	9830	9712	9294	9963	9637	9603	10084	10127	10566	10317	10574	10959	11064	11240	11707	11765	12277	12361	12863	13211	13268	13798	13644	14202	14642	15135	15629	15703	16371	16952	16712	17061	17769	18323	18450	19090	19340	20029	19809	20549	21036	21330	21494	21739	22543	22507	23681	23629
B10	10390	10104	9908	9337	9069	9397	9151	9138	8709	8668	8846	8753	8922	8487	8891	9086	9052	9285	9348	9211	9406	9653	9743	9977	10154	10337	10824	11018	11310	11819	11569	12284	12651	12958	13331	14022	14078	14361	14408	14844	15198	15354	16116	15948	16214	17070	17371	17614	18102	18265	18339	18549	19059	19593	20208	20219	20689	21143	21567	22011	22748	22391	23155	23138	24173	24445	24660	25260	25723	25724	26435	26394	27068	27247	27840	28495	28526	29053	29648	30319	29877	30103	30888	31222	31997	31644	32282	32517	32735	33038	33700	33964	33950	34362	34886	35838	36422	36509	36737	35922	37074	37145	37806	37791	37972	38739	39182	39591	39929	40006	40723	41890	41174	41702	42625	42907	42392	43484	43568	44595	44626	45038	44907	45278	45747	46230	46480	46366	46979	46488	47164	47825	47079	48131	48961	49239	48860	49572	50060	50812	50669	51100	50781	50833	51754	51444	52299	52744	52822	53404	53827	54606	53986	53316	55097	54799	55912	55165	56594	55625	56566	56853	56095	57083	57884	57325	56953	57742	58336	58257	58287	58277	58998	59056	59722	59591	58789	59995	60397	59879
B11	10440	10030	9828	9936	9415	9412	9041	9108	9090	9082	9031	8597	9128	8889	8909	8995	9028	9362	9560	9335	9751	9758	10359	10471	10655	10631	11072	11337	11365	11975	12708	12418	12938	13026	13852	13973	14014	13815	14682	15369	15506	15631	16098	16025	16574	17288	17226	17509	18183	18562	18322	18902	19786	20116	20272	20705	21014	20831	21900	22034	22184	22583	23303	23016	23844	24548	25219	24986	25949	25940	26780	26720	27255	27258	27886	28617	29180	28822	30105	30602	30275	30540	31041	32048	31508	32539	32994	32825	33411	33613	34070	34401	34497	35027	35814	35586	36701	36812	36657	36987	37497	37121	38215	38664	38451	38666	39413	40030	40363	40497	41128	41432	42142	42174	42419	42695	42747	43177	43381	44388	44192	44917	45365	44982	45721	46323	46466	46201	47129	46697	47193	48003	48640	47604	48559	49718	48823	48993	50019	50228	50298	51130	50279	50626	51485	51097	52074	51891	52202	52571	53157	54372	53657	53265	54254	53291	54057	54556	55272	55591	55736	56078	55625	56328	56844	57038	56822	57157	58872	58063	57493	59187	58285	57971	58593	58656	58709	58298	59296	59154
B12	10380	10217	9904	9285	9233	9434	8979	9087	8973	9071	9018	8929	9026	9209	9106	8967	9085	9241	9222	9487	9133	9392	9456	9670	9814	10133	10016	10330	10638	10929	11187	11106	11791	12032	12343	12634	12937	13295	13342	13867	14577	14466	15052	15707	16119	16326	16799	16832	17041	18129	18269	18495	18796	19341	19773	19911	20537	20834	20663	21502	22108	22028	22520	23270	23551	24061	25114	25281	25525	25834	26258	26962	27015	27339	27837	28259	28092	28886	29361	29676	29912	30113	30458	31363	31543	31560	32407	32134	32158	32878	33203	33781	33667	34921	34947	34816	35854	36227	36346	36284	36566	36908	37901	38249	37665	38486	39588	39318	39828	39856	40298	40504	41505	42598	41774	42762	42989	43377	42729	44279	44067	44666	44930	45484	45071	45573	45379	46706	46701	46390	47375	48713	47757	48088	48968	48656	48778	49541	49355	50067	50593	51196	50878	51240	51792	51026	51061	52667	52045	52138	52446	52975	53321	53829	54138	54016	53961	54264	55160	54405	55288	55038	55041	55680	56298	56223	56475	56321	56051	56712	56850	57392	56688	57474	57138	57027	57802	58374	56841	58776
C1	13490	12755	12638	12054	12005	11942	11736	11524	11795	11519	11323	11337	11406	11508	11551	11497	11691	11854	11863	12530	12555	13053	13396	14020	14654	15208	15190	15780	16342	16829	17143	17629	18453	18637	18835	19680	20084	20354	20812	21221	21821	21949	22403	22906	22929	23942	23535	24575	24683	25258	25369	25815	25893	26412	26754	27263	27678	28075	28349	29033	28831	29344	30251	29916	30829	31125	31834	31848	32382	32831	34151	33928	34360	34998	35251	35661	36137	36433	36876	38054	38025	38681	39442	39694	40725	41386	42117	42472	42762	43685	44133	44641	45403	45960	46530	47176	48298	49467	49027	49909	51091	51501	51948	52294	53009	52690	54109	55083	55413	55074	56822	56881	56838	57428	58643	OVER	58721	58800	59240	59778	OVER	OVER	OVER	OVER	OVER	OVER	61540	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
C2	11397	11234	11259	10670	10679	10471	9957	10117	10087	9686	9300	9453	9573	9601	9566	9445	9458	9491	9547	9549	10158	10109	10464	10459	10891	11157	10970	11591	11916	12118	12307	12250	13012	13344	13949	13946	14549	14672	15248	15961	15885	16347	16932	16876	17816	18006	18727	18425	19262	18576	19774	20204	20126	19894	20922	21261	21453	22338	22314	22350	22794	22916	23992	24899	24763	25412	25888	26746	26948	28138	28365	28348	29922	30420	30716	31067	31910	32628	33423	33743	34192	34300	36017	37077	38037	37706	39046	40188	40902	40731	41189	42899	42689	42659	43447	44310	45315	45847	46518	46563	47759	47260	48375	47886	48997	48460	49940	49879	50672	51076	51087	51034	51409	51541	52857	52786	52881	52928	53968	53805	54181	54754	55601	55120	56184	55618	56543	56150	56207	56735	57010	57922	57095	58047	58135	59510	59522	59048	59924	59203	60040	60267	60220	60557	60443	OVER	OVER	60288	61023	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
C3	12602	12424	12131	11800	11766	11400	11068	10888	10798	11038	10757	10676	11020	10825	10798	11043	10964	11206	11296	11836	11829	12088	12531	13241	13270	14033	14150	15004	15573	15932	16488	17227	17219	17898	18682	18731	18914	19158	19832	20515	20487	21076	21448	21738	22079	22522	22943	22844	23043	23582	23922	24096	23954	25049	25225	25239	25521	25850	26548	27051	26719	27104	28348	28151	28548	29412	29100	29855	30727	30657	31509	31431	32625	32738	32719	33602	33808	34634	35253	35133	35603	35182	36749	37691	38430	37762	38935	39815	40047	41072	41536	42321	42435	43672	43945	44770	45091	45729	45745	47068	46897	47167	48588	48694	50327	50031	50881	50975	52343	52618	53216	53552	54608	54817	55405	55322	56311	56061	56297	56900	57439	58745	58709	59109	59128	58920	59639	60240	59683	60028	60502	61268	OVER	OVER	OVER	OVER	OVER	OVER	OVER	62075	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
C4	12773	12767	12072	12530	11752	11606	11338	11352	11405	11657	11575	11391	11498	11364	11201	11376	11256	11579	11569	11525	11640	11459	11621	11602	11488	11242	11337	11656	11490	11756	11739	11588	11682	11849	11647	11425	11631	11798	11674	12061	11657	11909	11924	12330	12017	12371	12181	12831	12268	12508	12617	12664	12868	12847	13047	13299	13031	12887	13384	13530	13411	13430	13915	13781	13824	13845	14348	14373	14406	14759	14589	14817	14993	15622	15405	15411	15427	15983	16279	16367	17003	16762	17663	17627	18184	17994	18126	18556	18870	19185	19796	19582	20114	20863	21273	21068	21298	22244	22463	22957	23692	23727	24275	24851	25316	25192	25927	26884	26414	27208	28063	28386	28490	29120	30294	30007	30726	31369	31375	32195	32243	32869	33390	34581	34968	35077	35511	36548	37173	37658	38527	38785	38612	39609	41107	41384	42181	42213	42837	43865	44566	44927	45570	47036	46642	46746	47373	47813	48056	49405	49214	50085	50664	50789	51655	52203	53849	53612	53919	54663	55614	56075	56795	56300	58322	58184	58358	59524	59372	60759	60394	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
C5	11529	11158	11018	10675	10632	10688	10100	9913	10009	10327	9875	9873	10253	9915	10106	9855	10246	10136	10192	10246	10136	10144	10152	10086	9896	10466	10019	10045	10297	10469	9802	10236	9882	9853	9863	9604	9761	9518	9770	9867	10017	9823	9574	9655	9703	9650	9648	9864	9595	9648	9633	9642	9695	9536	9593	9625	9526	9721	9905	9895	9538	9867	9499	9633	9609	9694	9937	9393	9788	9427	9730	9722	9663	9504	9839	9670	9379	9616	9630	10030	9558	9805	9775	9562	9615	9705	9785	9946	9951	9602	9502	9689	9980	9899	9648	9811	9791	9598	9917	9867	10060	9918	9677	9893	10012	9980	9920	10025	9879	9580	9885	9913	10138	10324	10428	10189	10249	10539	10356	10525	10691	10653	11047	11076	11241	11342	11391	11460	11711	12119	12131	12351	12552	12944	12854	13039	13187	13200	13691	13858	13886	14755	14429	14443	15056	15007	15528	15552	16094	16402	16046	16470	17043	17412	17707	18177	18037	18567	18353	19033	19439	19309	19507	19855	20455	20507	21078	21332	21381	22309	22499	22762	22807	22869	23674	23490	24140	24180	25411	24828
C6	13118	12300	12022	12027	11464	11313	11510	11267	10944	11249	11134	11035	11048	11282	11457	11337	11278	11388	11596	11808	11611	11365	11484	11388	11448	11758	11410	11471	11689	11855	11679	11907	11694	11694	11794	11893	11597	11860	11623	11772	12023	12051	12047	12094	11986	12278	12214	12294	12297	12544	12692	12450	12617	12795	13069	13150	13131	13581	13476	13344	13321	13843	13629	13674	13765	13799	14108	13812	14187	14569	14767	14867	14763	15193	15562	15636	15688	16098	15979	16333	16735	16601	17493	17623	17964	18075	18763	19036	19137	19186	19383	19788	20649	20757	21340	21463	22054	22477	22864	23266	23421	24002	24726	24790	26004	26171	25951	27374	26786	27791	28555	28155	28797	29519	30184	30160	30879	31246	31822	32621	33700	34049	34049	35028	36413	35577	36198	37127	38276	38438	39231	40047	39623	40814	41844	41982	42114	42785	43483	43965	44682	45667	46573	45474	46431	47243	47993	48125	49433	49972	50563	50507	49890	50895	51621	52285	52872	53549	53971	54724	55528	55615	56226	56798	57644	57210	58706	58310	59523	60510	60278	60104	60827	61079	60849	OVER	61218	OVER	OVER	OVER
C7	13134	12593	12481	11820	11923	11775	11478	11133	11217	11265	11296	11328	11453	11393	11224	11392	11469	11781	11816	12059	12196	12620	12798	13419	13404	13637	13872	14168	14471	14910	14953	15390	15323	15574	16059	16738	16682	16921	17148	17678	18504	18743	18697	19378	19248	20463	20350	21021	21806	21534	22322	22931	23021	23432	23700	24214	24937	24744	25445	26093	26280	27075	27176	27743	28057	28468	29400	29682	30500	30564	31192	31236	32657	33332	33334	34352	34918	34916	36031	36296	35980	37374	37675	38149	39464	39981	41478	40971	42099	42157	42524	44133	43782	45554	44797	45407	46044	46749	47440	47604	49032	48760	48819	50163	50796	50909	51262	52588	52951	53233	53127	53743	55034	55342	56347	55472	56241	56393	57131	57446	58807	58472	58588	57802	59293	OVER	59420	59715	OVER	60120	OVER	OVER	60420	61966	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
C8	11994	11593	11094	11133	10709	10669	10471	10322	10280	9886	10013	10077	10230	10212	10377	10323	10250	10619	10671	10536	10821	10860	10944	10960	11018	10919	11215	11670	11431	11520	11596	11489	11569	11942	11931	11921	12159	12097	12566	13225	12981	13395	13767	13830	13734	14390	14650	15060	15186	15727	15938	15997	15918	16541	17117	16697	17434	17748	18660	18516	18860	19209	20103	20556	20563	21301	22102	22760	23263	23788	24460	24391	25218	26399	26241	27421	27851	28402	29475	29697	31160	31030	32212	32751	33914	33857	34813	35383	36098	37019	37979	38430	38014	39400	39755	40584	40989	42135	42313	42337	43035	43949	44131	44335	45477	44654	46051	46526	46095	47052	47010	48246	48113	49209	48641	49143	49383	49442	50577	50599	51578	50885	51982	52323	52139	52099	52679	52595	52729	53449	53586	54091	54242	53856	54662	54406	55704	54881	56135	56092	56715	56987	56504	56408	56911	57377	57537	58271	58140	58216	58008	58668	58738	58460	59671	59460	59118	60082	59572	60795	60400	60037	59806	60522	60801	OVER	60134	60488	60970	61439	60423	60317	60248	60596	61014	61007	OVER	61064	OVER	OVER
C9	12663	12503	11933	11560	11284	11277	11010	11051	11161	11117	11010	10995	10739	11332	11257	11365	11476	11135	11616	11423	11696	12008	12178	12640	12917	13211	13397	13759	13556	14159	14319	14770	15062	15549	15372	16048	15931	16592	17078	17497	17774	18195	18367	18699	19035	19679	20152	20786	21288	21255	21885	22742	22520	23369	23403	23634	23995	24780	25105	24897	26334	26580	26981	28009	28656	28936	29206	29658	30154	30826	31706	31935	32752	32564	33025	34135	34733	35135	36278	35751	36430	37275	37457	38808	38871	39299	39919	41057	42127	42822	42361	43816	43830	45720	45547	46680	46683	47847	47568	48784	49114	49743	51050	51264	51864	51908	52946	53179	52980	54275	54730	55398	55199	55967	55832	56690	57066	57627	58210	58487	59302	59258	59638	60471	60846	60641	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
C10	13037	12854	12376	11784	11121	11492	11474	11260	11110	10955	10986	10933	11046	11065	11168	11267	11606	11239	11937	12312	12429	13082	13454	13850	14321	14464	15155	14995	15656	16364	16617	16831	17532	18336	18810	19186	19730	19771	19770	21263	21089	21367	21664	22125	22571	22799	23144	23395	23939	24448	24338	24629	25167	25410	25930	26461	26192	27286	27080	27969	28149	28289	29040	28646	29439	30200	30293	30010	31094	31422	31125	31736	32736	32786	33030	33507	33780	33949	34885	34789	34911	35467	36751	36977	37445	37668	38447	38226	39331	39170	40686	40458	41465	41076	42434	43818	43782	43912	44938	44941	45452	45860	47077	48045	48560	48513	50082	50778	51573	52357	52294	53010	53184	54120	54954	55806	56304	55787	56094	56609	57510	57884	57717	58345	59318	59101	59047	59833	60556	59655	60508	OVER	60425	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
C11	11891	11666	11025	10580	10702	10251	10336	10064	9922	9931	9885	9837	9844	9843	10100	9963	9919	9796	10360	10285	10367	10591	10776	11066	11587	11570	11987	12164	12086	12718	13025	12631	13149	13591	13769	13944	13801	14456	15654	15387	16068	16049	17046	17732	17280	18121	18422	18469	18903	19240	20387	19935	20419	21140	21122	22182	22073	22207	23170	22841	23590	24153	24320	24916	25407	25722	26547	26489	27353	27388	28531	28538	28925	29853	30430	30587	31414	31814	32186	33020	33739	34143	35012	35676	36363	37265	38007	38255	39261	39666	41068	40867	42253	42513	43055	43568	45198	45708	45815	46175	46596	47832	47154	48045	48383	49289	49436	49497	50750	51260	51163	51245	52126	51582	53158	53125	53352	52859	54273	54011	55092	55068	54912	55546	55779	55533	55326	56158	56385	56095	57247	57423	56947	57570	58398	58571	58774	58319	58769	59409	59992	59660	60174	59733	60233	60524	61089	60747	OVER	60869	61471	OVER	OVER	61592	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
C12	13023	12736	12199	11870	11612	11621	11253	11302	10935	11381	11263	11160	11219	11322	11299	11351	11817	11744	11934	12430	12444	12980	13250	13700	14364	14506	15294	15869	16138	16584	16881	17253	17875	18344	19084	19560	19677	20500	20918	21440	22186	22211	23181	23241	23281	24374	24501	24821	25643	25235	26150	26048	25858	26563	26630	27477	27296	27794	27970	28328	28656	29403	29508	30086	30280	30403	31078	31701	31143	31792	32153	32841	33455	33778	33712	34007	34591	34635	35888	36512	36240	36483	37010	37177	38291	39115	39704	39711	40192	40648	40387	41956	42273	42730	43280	44586	45224	45897	46279	46684	47700	47982	48787	49484	50040	50223	51400	52090	52871	52763	54022	53843	55080	55474	55823	56288	56825	57206	57931	58030	58884	58780	59416	60024	60029	58937	60479	60277	60290	60917	61439	OVER	61046	OVER	OVER	61093	OVER	OVER	62199	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D1	12867	12481	11946	11224	11481	11424	11008	10885	10677	10863	11369	10567	11054	11014	10913	11164	11144	11568	11577	11503	12018	11988	12958	13279	13598	14089	14486	14999	15948	16654	16833	17613	18065	18569	18701	19088	19326	19559	20620	20757	21132	21081	21806	21847	21834	22338	22620	23042	23541	23630	24182	24254	24095	25352	25311	25502	25585	26140	26170	26658	27394	27595	28045	28608	29108	29817	30161	29497	30438	30659	31335	31552	31369	32411	32534	32744	33092	34115	34439	34456	35450	35194	36219	36779	37394	37702	37987	38538	39200	39777	40379	40827	40676	41185	42165	42150	43502	43758	43892	44746	44620	45287	45802	46929	48019	47781	48852	50648	50605	50512	50896	51838	51700	53200	53470	53637	54609	54660	55058	56473	56773	57196	58210	57380	58098	58694	59302	59378	59802	59380	60093	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D2	12080	11810	11307	11563	11355	11032	10784	10755	10869	10701	10359	10715	10806	10513	10877	10836	10855	10831	11182	11090	11798	11825	11759	12382	12915	13707	13890	14684	15327	15792	16457	16905	17591	18212	18377	19321	19644	20080	20676	20553	20879	21780	21999	22360	22307	23128	23364	23989	24103	24884	25525	25688	26107	26497	26688	27464	27329	28581	28800	28629	29092	29202	29612	30127	30437	30769	31822	31979	32442	32481	33313	33991	34163	33880	35100	35692	35502	36513	36705	37391	37921	38187	39387	38794	40138	41023	42094	41873	42535	42330	43195	43887	44468	44710	45426	45874	46670	47786	48231	48772	49514	49163	50598	51826	51832	52210	52711	53207	55324	55001	55467	56725	56913	56387	58009	58615	59124	59634	59903	59971	OVER	61344	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D3	12701	12496	12037	12200	11512	11362	11208	11069	11125	11051	11068	10979	11042	11151	11218	10966	11263	11333	11829	11820	11938	11988	12805	13320	13782	14582	14564	15122	15476	16632	17186	17373	17935	18375	18773	19152	19724	20023	19868	20843	21386	21378	22351	22937	22295	22971	23324	23200	23515	23742	24331	24964	24668	25020	25382	26207	26289	26214	27158	26913	27637	27955	27619	28746	29106	29111	30255	30104	30434	31197	32113	31997	32175	32803	33418	33997	33552	34325	35310	35911	35808	36503	36854	37381	38400	38577	39733	39169	40600	40918	41723	41333	42445	42839	42846	43627	44299	45575	45510	46708	47320	47387	47652	48682	49599	49972	50529	51490	51592	51854	52960	53572	53995	54745	56602	56246	56878	56788	57006	58547	58968	58909	60424	59556	OVER	60395	OVER	61087	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D4	12929	11985	11896	11824	11460	11400	11428	11123	11292	11286	11259	11388	11160	11642	11207	11407	11470	11218	11356	11201	11067	11456	11438	11438	11030	11401	11113	11087	11098	11296	11470	11287	11169	10950	11133	11240	10804	11128	11034	11162	10840	11247	10956	11090	11213	11335	11170	10888	11082	10841	11379	10832	11237	11405	10894	10840	11065	11266	11426	11152	11488	10935	11226	11108	11161	11094	11207	11484	11072	11086	11171	11277	11450	11404	10728	10746	11411	11337	11239	11542	11322	11226	11239	11373	11670	11286	11394	11749	11482	11433	11136	11209	11273	11561	11398	11165	11353	11690	11720	11438	11593	11284	11382	11283	11253	11512	11589	11520	11082	11240	11397	11229	11036	11443	11467	11397	10767	10905	11280	10996	11098	10993	10859	10789	10934	10811	11189	10884	10924	10832	10567	10877	10811	10685	10649	10559	10697	10508	10686	10666	10317	10830	10598	10539	10471	10662	10450	10219	10311	10141	10406	10290	10521	10496	10304	10443	10508	10400	10624	10503	10413	10539	10409	10753	10581	10843	10567	10484	10533	10757	10720	11094	10914	10947	10853	11326	11168	11114	11430	11557
D5	11855	11429	11617	11135	11026	10882	10770	11048	10838	10943	10807	10562	11279	11128	10902	10901	11123	10803	10962	10920	11523	10788	11295	11052	11048	11084	11164	10719	10781	11435	11181	10587	10733	10958	10998	10874	10559	10663	11049	10723	10916	10878	10780	10743	10931	10744	10626	11034	11218	10359	11074	10964	10851	11036	10777	11002	10777	11057	10850	10826	10701	11028	11060	11165	11213	11103	11237	11265	11061	11211	11102	11243	11518	10840	11319	11021	11102	11050	11029	11186	11056	10933	11347	11163	11262	11222	11367	11614	11129	11594	11691	11339	11083	11491	11574	11309	11354	11689	11433	11580	11247	11207	11149	11391	11364	11426	11574	11484	11280	11259	11576	11639	11479	11812	11767	11329	11598	11593	11341	11684	11372	11752	11762	11684	11605	11226	11149	11706	11547	11455	11732	11395	11439	11783	11546	11412	11212	11307	11408	11163	11401	11525	11140	11074	11297	10998	11177	11158	11209	10919	10885	10669	10839	10923	10681	10836	10744	10684	10595	10410	10676	10512	10539	10402	10855	10608	10467	10620	10658	10803	10703	10904	10391	10191	10653	10222	10947	10406	10961	10753
D6	12750	12219	12094	11358	11730	11466	11144	11163	11222	10874	11417	11038	11411	11731	11493	11388	11099	11590	11355	11009	11154	11331	11281	11191	11582	11350	11020	11343	11299	11322	11529	11474	11173	11655	11106	11208	11266	11010	11101	11036	11058	11176	11369	11332	11084	11196	11115	11445	11132	10935	11119	11470	11063	10892	11263	11073	11004	11098	11108	11412	11367	11049	11010	11072	11430	11156	11626	11563	10980	11409	11241	11282	11450	11324	11468	11543	11256	11450	11311	11467	11460	11122	11331	11799	11250	11441	11870	11185	11754	11472	11291	11412	11159	11420	11501	11362	11418	11520	11524	11533	11576	11684	11519	11378	11791	11260	11603	11209	11408	11819	11189	11653	11536	11567	11455	11353	11521	11727	12002	11512	11348	11567	11357	11642	11636	11409	11603	11328	11564	11174	11508	11306	11250	11424	10893	11114	11327	11105	10917	10982	10871	10947	11286	11111	11079	10981	10969	11255	11222	11272	10843	11018	10972	11338	10906	10916	10989	11004	11019	11077	11005	10825	10997	11129	11322	11698	11517	12039	11847	12635	12914	12691	12930	13134	13532	13744	14487	14369	14818	15261
