<>	1	2	3	4	5	6	7	8	9	10	11	12
A	0.051199999	0.048900001	0.0462	0.047699999	0.047200002	0.046100002	0.0451	0.047699999	0.0451	0.045600001	0.0458	0.046
B	0.050000001	0.047400001	0.046399999	0.046500001	0.0473	0.046500001	0.044799998	0.0451	0.046700001	0.047200002	0.0458	0.046
C	0.048900001	0.0473	0.046399999	0.046100002	0.047699999	0.046300001	0.0451	0.045699999	0.0473	0.046799999	0.048900001	0.046700001
D	0.048799999	0.047899999	0.046500001	0.046300001	0.046	0.046999998	0.0449	0.046700001	0.046500001	0.0469	0.045899998	0.0458
E	0.049699999	0.0482	0.047200002	0.047499999	0.046300001	0.048300002	0.046	0.046700001	0.046599999	0.046500001	0.045600001	0.963699996
F	0.0504	0.048500001	0.047699999	0.0484	0.046599999	0.045600001	0.046100002	0.0469	0.048	0.960699975	0.934599996	0.941999972
G	0.050799999	0.050299998	0.048599999	0.046	0.046	0.046500001	0.047400001	0.936699986	0.962599993	1.000499964	0.981299996	0.984499991
H	0.049699999	0.049899999	0.483599991	0.904500008	0.939199984	0.929799974	0.931999981	0.924399972	0.970600009	0.971199989	0.999599993	0.973399997
