<>	1	2	3	4	5	6	7	8	9	10	11	12
A	0.0513	0.048700001	0.045899998	0.047800001	0.0491	0.0493	0.045400001	0.047899999	0.044799998	0.045699999	0.044300001	0.046500001
B	0.050999999	0.047699999	0.046999998	0.0462	0.047899999	0.047200002	0.046599999	0.045200001	0.0471	0.051600002	0.045899998	0.046300001
C	0.050099999	0.047899999	0.046799999	0.045899998	0.048500001	0.046500001	0.046799999	0.045400001	0.048	0.046799999	0.046999998	0.047699999
D	0.0495	0.048300002	0.046999998	0.046500001	0.048099998	0.047200002	0.045699999	0.051399998	0.045600001	0.0471	0.046	0.0517
E	0.0502	0.048300002	0.048	0.679099977	0.046599999	0.0484	0.046599999	0.046500001	0.046399999	0.046700001	0.045400001	0.970300019
F	0.050500002	0.048999999	0.047800001	0.048700001	0.0469	0.046100002	0.046500001	0.046599999	0.046399999	1.00059998	0.999899983	0.916499972
G	0.053399999	0.0506	0.0493	0.046100002	0.0458	0.046799999	0.047600001	1.013200045	1.025400043	1.057800055	1.041499972	0.972899973
H	0.051199999	0.049800001	0.050999999	0.874300003	1.001199961	1.02670002	1.036399961	1.030300021	1.032199979	0.966000021	1.007200003	0.966400027
