<>	1	2	3	4	5	6	7	8	9	10	11	12
A	0.051199999	0.046500001	0.046399999	0.0473	0.047400001	0.0462	0.045299999	0.047699999	0.045000002	0.047899999	0.046999998	0.046399999
B	0.050700001	0.0471	0.046799999	0.046799999	0.0458	0.046799999	0.045400001	0.046399999	0.045200001	0.047200002	0.047800001	0.494199991
C	0.050000001	0.048	0.046399999	0.0469	0.046100002	0.046399999	0.045400001	0.046799999	0.046	0.0471	0.0469	0.879599988
D	0.049800001	0.0484	0.047200002	0.0451	0.046700001	0.0462	0.0473	0.046300001	0.046700001	0.045899998	0.046	0.878600001
E	0.050799999	0.049199998	0.047699999	0.047600001	0.046700001	0.048500001	0.0462	0.047499999	0.047499999	0.046399999	0.046100002	0.900099993
F	0.050799999	0.050000001	0.047800001	0.0462	0.047800001	0.046999998	0.046599999	0.0469	0.047600001	0.046700001	0.975199997	0.916000009
G	0.052000001	0.050099999	0.047600001	0.047400001	0.046300001	0.046700001	0.047699999	0.0473	0.924399972	0.9375	0.928799987	0.867600024
H	0.050900001	0.049400002	0.049199998	0.046599999	0.666899979	0.922699988	0.917599976	0.897099972	0.887300014	0.885200024	0.889500022	0.87349999
