Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
D12	8087	8125	8001	7989	8053	7970	8100	8087	8051	7875	7933	7876	7869	7836	7895	7829	7858	7848	7780	7950
E1	7170	7368	7099	7132	7182	7117	7129	7120	7187	7172	7009	6920	7085	6961	6936	6934	6912	6897	6806	7188
E2	44359	44209	44156	44467	44335	44678	44097	44061	44135	43913	44049	43718	43314	43575	43599	43429	43188	42996	43067	43092
E3	43546	43915	43361	43402	43623	43384	43257	42863	43020	42943	42785	42577	42492	42413	42456	42527	42488	42396	41966	42100
E4	46737	47083	47082	46825	47065	47090	46209	46545	46991	46588	46552	45897	45999	46155	46024	46086	45952	45886	45574	45264
E5	46126	45879	45228	45749	46010	45673	45663	45498	45724	45483	45750	45210	44833	45522	45141	44930	45081	45164	44715	44845
E6	7729	7807	7682	7604	7671	7639	7613	7643	7579	7665	7572	7590	7579	7486	7508	7735	7493	7543	7566	7671
E7	8169	8041	8087	8255	8067	8136	8082	7968	8038	8014	7855	8036	7897	8053	8018	7939	8151	8006	8144	8049
E8	7871	7869	7873	7663	7773	7794	7672	7891	7647	7876	7679	7702	7983	7615	7837	7785	7836	7842	7767	7616
E9	7456	7531	7290	7345	7414	7315	7262	7125	7238	7195	7377	7259	7405	7204	7175	7200	7182	7300	7349	7304
E10	7423	7369	7270	7312	7269	7313	7322	7202	7307	7321	7210	7207	7256	7179	7281	7213	7153	7279	7208	7272
E11	7360	7396	7151	7277	7249	7304	7336	7249	7306	7313	7182	7145	7260	7189	7139	7214	7226	7144	7148	7131
E12	7176	7243	7196	7243	7335	7087	7084	7169	7019	7249	7222	7161	7170	7093	7148	7069	7173	6985	7131	7159
F1	7674	7655	7540	7607	7517	7701	7470	7543	7671	7505	7509	7468	7466	7439	7474	7409	7434	7398	7566	7443
F2	43229	43151	43035	42837	42716	43290	43239	43547	43008	42713	42515	42539	42657	42515	42438	42365	42516	42270	42497	42003
F3	42535	42693	42114	42626	42363	42232	42080	42144	41913	41506	41597	41616	41061	41192	40957	41033	40893	40989	40333	40654
F4	44417	43413	43401	43444	43055	43813	42696	43285	43407	43217	42826	42902	42736	42573	42426	42577	42859	42447	42559	42474
F5	45839	45719	45895	46108	45902	45840	45705	45893	45849	45942	45854	45049	45261	45060	45306	45411	45101	44906	44717	44748
F6	41245	41412	41291	41347	41050	41270	41497	41265	41384	41047	41159	41069	40853	41089	40841	41202	41397	41062	41030	41069
F7	36052	36414	36180	36399	36252	36571	36491	36520	36465	36249	36421	36309	36110	36272	36350	36153	36222	36218	36077	36290
F8	38080	38503	38152	38295	38556	38574	38294	38200	38140	38287	38510	38265	38270	38303	38457	38223	38450	38253	38376	38479
F9	36850	37394	37175	37629	37466	37244	37268	37432	37379	37182	37150	37273	37367	36755	36745	36834	37073	36962	36942	36756
F10	7726	7786	7783	7920	7903	7811	7610	7708	7795	7667	7740	7648	7655	7650	7740	7625	7672	7629	7686	7677
F11	7419	7511	7634	7354	7497	7466	7381	7602	7503	7530	7479	7448	7328	7380	7476	7381	7400	7249	7319	7253
F12	8205	8425	8348	8282	8394	8322	8468	8248	8320	8288	8184	8225	8269	8096	8395	8198	8271	8253	8353	8213
G1	8197	8241	8300	8141	8119	8323	8121	8108	8043	8056	8064	8056	8019	8073	8017	8105	8032	8061	8076	8028
G2	45573	45985	45864	46109	45809	45989	45837	45561	45615	45339	45480	45057	45099	44887	44845	44714	44457	44484	44286	43941
G3	42904	43177	43221	43382	43385	43241	43153	43419	42946	43011	43311	42684	42735	42753	42738	42285	42358	42402	42147	42678
G4	48239	47675	47087	47237	47040	47251	46388	46834	46472	46663	46318	46567	46119	45949	46052	46170	45732	46314	45647	45718
G5	46596	46983	46481	46741	46667	46575	46653	46384	46368	46127	46253	46301	45508	45808	45602	45557	45452	45211	45312	45853
G6	38234	38683	38565	38717	38584	38543	38540	38810	38708	38712	38662	38603	38673	38517	38625	38686	38878	38663	38805	38186
G7	39101	39380	39448	39636	39579	39665	39733	39515	39720	39598	39895	39346	39617	39647	39507	39469	39683	39985	39752	39585
