Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
D12	8796	8855	8904	9009	8732	8737	8770	8799	8564	8652	8682	8735	8506	8817	8672	8637	8712	8541	8610	8579
E1	8690	8575	8633	8542	8616	8572	8548	8466	8510	8510	8591	8388	8413	8502	8474	8344	8443	8638	8452	8550
E2	47265	47682	47987	47506	47585	47625	48075	47841	48026	47888	47739	46929	47361	47557	46605	48191	47075	47423	46931	46992
E3	43527	43818	43745	43880	44123	44502	44262	44594	44707	44347	44519	44453	43863	44119	44250	43281	43150	42822	43526	43074
E4	44748	45124	45380	45040	45683	45830	45701	45887	46539	45874	45901	45821	45733	45431	45606	45371	45181	44863	45665	45499
E5	46097	45594	46341	45819	46119	45643	46429	46353	46171	46201	46161	45995	45320	45222	45185	44801	45920	45624	46287	45404
E6	8748	8896	8862	8735	8751	8714	8779	8706	8667	8577	8580	8688	8675	8684	8672	8719	8695	8728	8710	8441
E7	45486	45665	45293	45749	46337	46983	45796	45832	45952	47250	47355	46383	46638	46442	46308	46021	46563	46467	45582	45012
E8	42367	42317	42746	43344	43429	43801	43128	43309	44259	43580	43286	42951	43157	42375	42881	42355	42486	41710	42425	42445
E9	44732	45702	44735	45196	45249	44996	44697	46054	46301	46281	45183	45814	45787	45053	44986	44984	44515	44315	44287	43906
E10	44689	45057	45308	45674	45478	46179	46193	46723	45543	47160	47334	46267	45983	47254	45214	46232	45724	46016	45367	45445
E11	9221	9037	9054	9026	9065	9060	9026	8973	8970	8998	9030	9041	8850	9033	8852	9051	8936	9188	8933	9057
E12	8976	8912	9106	8984	8823	8886	8785	9028	9042	8796	8784	8885	8881	8878	8950	8797	8855	8895	8824	8869
F1	8704	8647	8598	8654	8680	8690	8648	8614	8682	8555	8640	8698	8492	8628	8464	8591	8691	8670	8661	8654
F2	46501	46548	47054	47080	46298	46806	46432	46646	47017	46858	46403	47117	46007	46647	46184	46286	45911	45798	44867	44957
F3	42813	43187	43638	42430	42206	43606	42859	43541	42547	43039	42938	43070	42384	42499	42295	42144	42499	41978	41727	41788
F4	44649	44847	45458	44123	44164	44583	44260	44554	44882	44579	44729	44750	44078	43505	43524	43623	42973	43004	43146	43362
F5	44530	44646	45184	44502	44677	44272	44051	43829	44123	43648	44094	44263	44028	43882	43788	44119	43360	43207	43037	42988
F6	8849	8833	8749	8933	8740	8818	8685	8758	8664	8710	8766	8738	8707	8679	8574	8653	8736	8736	8641	8593
F7	17214	16960	17273	16731	16832	16825	16829	17029	16842	16898	16962	16696	16946	16691	16593	16839	16603	16404	16617	16586
F8	17457	17683	17111	16820	16895	16836	17163	16975	17078	16885	17009	16880	16632	16551	16877	16562	16577	16625	16535	16447
F9	17413	17114	17397	17030	16750	17123	16920	17195	16677	16782	16741	16617	16670	16562	16393	16347	16341	16712	16332	16313
F10	16989	17268	17189	16932	16977	17413	16782	16682	17037	16672	16840	16678	16688	16757	16491	16820	16519	16726	16494	16397
F11	9020	8899	8831	8946	8799	8861	8984	8996	8774	8752	8667	8888	8812	8826	8956	8800	8787	8792	8707	8925
F12	9021	8874	8971	8797	8937	8935	8841	8873	8942	8920	8801	8646	8725	8933	8758	8845	8712	8951	8794	8857
G1	8617	8570	8584	8778	8654	8653	8471	8615	8598	8541	8647	8639	8638	8433	8663	8576	8615	8669	8491	8511
