<>	1	2	3	4	5	6	7	8	9	10	11	12
A	0.035500001	0.123099998	0.122599997	0.127700001	0.125400007	0.035300002	0.120999999	0.121799998	0.125400007	0.121299997	0.0352	0.034400001
B	0.0348	0.126100004	0.126800001	0.129899994	0.125400007	0.034400001	0.119900003	0.123300001	0.125100002	0.118799999	0.0374	0.0348
C	0.035399999	0.125	0.128299996	0.130099997	0.147499993	0.036400001	0.1175	0.120700002	0.126100004	0.118600003	0.036499999	0.034699999
D	0.035300002	0.126599997	0.126300007	0.128299996	0.124700002	0.035300002	0.0594	0.122000001	0.126200005	0.120499998	0.0363	0.034699999
E	0.034400001	0.127399996	0.126499996	0.131400004	0.126300007	0.036499999	0.125799999	0.126599997	0.129099995	0.1241	0.0352	0.035700001
F	0.034499999	0.128600001	0.127100006	0.131500006	0.125499994	0.035500001	0.122299999	0.122500002	0.125300005	0.1219	0.0363	0.0352
G	0.034499999	0.129299998	0.125799999	0.129800007	0.127599999	0.036400001	0.118799999	0.1193	0.125	0.119499996	0.035500001	0.035
H	0.035100002	0.125499994	0.124799997	0.129600003	0.122599997	0.0359	0.118799999	0.120300002	0.1237	0.118299998	0.0374	0.035799999
