<>	1	2	3	4	5	6	7	8	9	10	11	12
A	0.035300002	0.132200003	0.131500006	0.135000005	0.130099997	0.034499999	0.034299999	0.035399999	0.0363	0.036699999	0.035799999	0.034299999
B	0.035399999	0.135000005	0.145099998	0.141200006	0.141000003	0.140699998	0.130799994	0.135000005	0.133000001	0.038699999	0.038800001	0.035
C	0.035300002	0.147799999	0.132499993	0.138899997	0.144999996	0.135499999	0.137400001	0.136600003	0.137899995	0.036800001	0.037	0.0348
D	0.035300002	0.143800005	0.144700006	0.143000007	0.145300001	0.139699996	0.143999994	0.142499998	0.130700007	0.037	0.038400002	0.0348
E	0.0348	0.135600001	0.135000005	0.137999997	0.131899998	0.035700001	0.034699999	0.036499999	0.0359	0.035799999	0.0348	0.035700001
F	0.034899998	0.1391	0.144800007	0.143299997	0.144299999	0.143099993	0.133200005	0.136999995	0.134800002	0.0381	0.0361	0.035599999
G	0.034200002	0.150000006	0.130400002	0.141200006	0.144400001	0.135399997	0.1373	0.135800004	0.136999995	0.037500001	0.035999998	0.034899998
H	0.034699999	0.141900003	0.143199995	0.140200004	0.142700002	0.138099998	0.1417	0.140100002	0.128299996	0.0363	0.0374	0.035500001
