<>	1	2	3	4	5	6	7	8	9	10	11	12
A	0.048	0.0451	0.0407	0.041999999	0.042800002	0.049400002	0.0447	0.044300001	0.042599998	0.040600002	0.0436	0.045600001
B	0.046700001	0.043200001	0.0414	0.040899999	0.041099999	0.042100001	0.046700001	0.042100001	0.041299999	0.043000001	0.040800001	0.042100001
C	0.044799998	0.044500001	0.041200001	0.041099999	0.0403	0.041000001	0.0427	0.042300001	0.043499999	0.043499999	0.0416	0.055799998
D	0.047200002	0.045899998	0.041999999	0.0436	0.0418	0.040399998	0.0405	0.0418	0.040899999	0.046500001	0.0418	0.619899988
E	0.044599999	0.045699999	0.043699998	0.043900002	0.041700002	0.044799998	0.042300001	0.043499999	0.065899998	0.585699975	0.675700009	0.637499988
F	0.048099998	0.046	0.044799998	0.046300001	0.045899998	0.2104	0.409299999	0.592999995	0.665700018	0.649500012	0.657700002	0.633099973
G	0.045299999	0.044599999	0.047200002	0.29339999	0.388900012	0.548200011	0.646200001	0.62620002	0.638100028	0.63410002	0.639500022	0.623899996
H	0.046500001	0.044199999	0.224800006	0.434799999	0.5704	0.631799996	0.629800022	0.66839999	0.625199974	0.645500004	0.653199971	0.617500007
