AB19606,AB030,genes,STRING_names,gene_orthologs,unique_name,citation,gene_name,type,condition,medLFC,FDR,gene_name_stylized,Pathway
GO593_07360,IX87_15350,atpA,atpA,atpA,atpA,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-3.15197940225976,5.26271779573038e-07,italic('atpA'),
GO593_07360,IX87_15350,atpA,atpA,atpA,atpA,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.08413177226951,0.000674786478449103,italic('atpA'),
GO593_07370,IX87_15360,atpD,atpD,atpD,atpD,"",atpD,perfect,fosfomycin_T2_1 - none_T2_1a,-2.05279894002271,0.00071364968131567,italic('atpD'),
GO593_07370,IX87_15360,atpD,atpD,atpD,atpD,"",atpD,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.946987393598479,0.674928542100847,italic('atpD'),
GO593_07345,IX87_15335,atpE,atpE,atpE,atpE,"",atpE,perfect,fosfomycin_T2_1 - none_T2_1a,-2.88965856600634,2.12106242327467e-06,italic('atpE'),
GO593_07345,IX87_15335,atpE,atpE,atpE,atpE,"",atpE,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.744677968808578,0.767280128361254,italic('atpE'),
GO593_07350,IX87_15340,atpF,atpF,atpF,atpF,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-2.55574146397459,0.000266066776914542,italic('atpF'),
GO593_07350,IX87_15340,atpF,atpF,atpF,atpF,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.927206331364477,0.870788683969647,italic('atpF'),
GO593_07365,IX87_15355,atpG,atpG,atpG,atpG,"",atpG,perfect,fosfomycin_T2_1 - none_T2_1a,-2.70021836272572,1.56001184387024e-09,italic('atpG'),
GO593_07365,IX87_15355,atpG,atpG,atpG,atpG,"",atpG,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.42117844112897,0.461625734678354,italic('atpG'),
GO593_07355,IX87_15345,atpH,atpH,atpH,atpH,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-4.37100833894221,7.45187861295837e-08,italic('atpH'),
GO593_07355,IX87_15345,atpH,atpH,atpH,atpH,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.33850693091513,0.416610922547829,italic('atpH'),
GO593_17715,IX87_21640,"bamA, opr86",bamA,bamA,bamA,"",bamA,perfect,fosfomycin_T2_1 - none_T2_1a,-1.12696490966373,0.0237415955992386,italic('bamA'),
GO593_17715,IX87_21640,"bamA, opr86",bamA,bamA,bamA,"",bamA,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.599594730503253,0.999625567137104,italic('bamA'),
GO593_10165,IX87_18295,birA,birA,birA,birA,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.632426340546887,0.754239393495368,italic('birA'),
GO593_10165,IX87_18295,birA,birA,birA,birA,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0778285176809221,0.999999998847234,italic('birA'),
GO593_13095,IX87_04580,"antB, benB, hcaF, xylY",cbdB_1,benB,cbdB_1,"",benB,perfect,fosfomycin_T2_1 - none_T2_1a,0.0255603346031016,0.999999995421631,italic('cbdB_1'),
GO593_13095,IX87_04580,"antB, benB, hcaF, xylY",cbdB_1,benB,cbdB_1,"",benB,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0146670715937683,1,italic('cbdB_1'),
GO593_00945,IX87_08070,cca,cca,cca,cca,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.419148714731849,0.947916222945274,italic('cca'),
GO593_00945,IX87_08070,cca,cca,cca,cca,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.151021370933458,1,italic('cca'),
GO593_17730,IX87_21655,cdsA,cdsA,cdsA,cdsA,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.395715739153163,0.498141718882195,italic('cdsA'),
GO593_17730,IX87_21655,cdsA,cdsA,cdsA,cdsA,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.137046799308098,0.999927012082202,italic('cdsA'),
GO593_01635,IX87_09155,"cgtA, obgE, obg",cgtA,cgtA,cgtA,"",cgtA,perfect,fosfomycin_T2_1 - none_T2_1a,-0.196949356363243,0.999999999990052,italic('cgtA'),
GO593_01635,IX87_09155,"cgtA, obgE, obg",cgtA,cgtA,cgtA,"",cgtA,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.144125591211465,1,italic('cgtA'),
GO593_08945,IX87_16990,clpX,clpX,clpX,clpX,"",clpX,perfect,fosfomycin_T2_1 - none_T2_1a,-0.266665576671374,0.999999938139433,italic('clpX'),
GO593_08945,IX87_16990,clpX,clpX,clpX,clpX,"",clpX,mismatch,fosfomycin_T2_1 - none_T2_1a,0.0662449497661204,0.999999999999149,italic('clpX'),
GO593_15555,IX87_02265,cmk,IX87_02265,cmk,cmk,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-2.41434056608958,1.19574404018789e-07,italic('cmk'),
GO593_15555,IX87_02265,cmk,IX87_02265,cmk,cmk,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.09346578145504,0.725244671813995,italic('cmk'),
GO593_10410,IX87_01935,coaD,IX87_01935,coaD,coaD,"",coaD,perfect,fosfomycin_T2_1 - none_T2_1a,-1.04350439031996,0.396709064482356,italic('coaD'),
GO593_10410,IX87_01935,coaD,IX87_01935,coaD,coaD,"",coaD,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.318707392798719,0.999999978486512,italic('coaD'),
GO593_08145,IX87_16190,coaE,coaE,coaE,coaE,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.178076958234474,0.999999993434409,italic('coaE'),
GO593_08145,IX87_16190,coaE,coaE,coaE,coaE,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0462221064054576,1,italic('coaE'),
GO593_10160,IX87_18290,coaX,AIL80483.1,coaX,coaX,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.650874160434335,0.973962386863925,italic('coaX'),
