condition	unique_name	AB19606	AB030	gene_mLFC	FDR
Colistin_0.44_T1 - None_0_T1	coaE	GO593_08145	IX87_16190	-0.0911200082570235	0.993774289496618
Colistin_0.44_T1 - None_0_T1	coaX	GO593_10160	IX87_18290	-0.523669206061137	0.000816234121272252
Colistin_0.44_T1 - None_0_T1	coq7	GO593_18430	IX87_06650	-0.310839876240432	0.65803516496347
Colistin_0.44_T1 - None_0_T1	cptB	GO593_04055	IX87_11990	-0.272996631398951	0.326582899584079
Colistin_0.44_T1 - None_0_T1	cyoA	GO593_18590	IX87_06820	-0.588076732927154	0.22680525146745
Colistin_0.44_T1 - None_0_T1	cyoB	GO593_18595	IX87_06825	-0.499824085614409	0.1319314393611
Colistin_0.44_T1 - None_0_T1	cyoC	GO593_18600	IX87_06830	-0.894569073923827	0.000119095848564342
Colistin_0.44_T1 - None_0_T1	cyoD	GO593_18605	IX87_06835	-0.804528494753468	0.000525794841002536
Colistin_0.44_T1 - None_0_T1	cyoE	GO593_18610	IX87_06840	-0.799415842170306	0.000227639124766968
Colistin_0.44_T1 - None_0_T1	cysS	GO593_13525	IX87_04375	-1.44970146879039	1.20837290856401e-06
Colistin_0.44_T1 - None_0_T1	dapA	GO593_05915	IX87_14145	-2.94743906251901	9.34632019895199e-09
Colistin_0.44_T1 - None_0_T1	dapD	GO593_01845	IX87_09360	-0.126585946626364	0.748753954573314
Colistin_0.44_T1 - None_0_T1	dapE	GO593_03060	IX87_10925	-0.0287051282834807	0.683475048017694
Colistin_0.44_T1 - None_0_T1	dapF	GO593_02140	IX87_09660	-0.0534097054305765	0.979163929889877
Colistin_0.44_T1 - None_0_T1	ddlB	GO593_05500	IX87_13700	0.211289898856642	0.0888679975600355
Colistin_0.44_T1 - None_0_T1	def	GO593_07425	IX87_15415	-0.16488989717739	0.950308999645318
Colistin_0.44_T1 - None_0_T1	der	GO593_09080	IX87_17130	-1.68495206382908	2.9224490641089e-19
Colistin_0.44_T1 - None_0_T1	desA	GO593_01430	IX87_08955	0.0120521435267002	0.964631481463308
Colistin_0.44_T1 - None_0_T1	desB	GO593_01425	IX87_08950	-0.273334587127593	0.855188305372013
Colistin_0.44_T1 - None_0_T1	dfp	GO593_03595	IX87_11520	0.0416816738853971	0.688225249776802
Colistin_0.44_T1 - None_0_T1	dnaA	GO593_06220	IX87_14445	-0.247026477742334	0.875748849405983
Colistin_0.44_T1 - None_0_T1	dnaB	GO593_18630	IX87_06860	-1.78462690473062	1.82368343511e-07
Colistin_0.44_T1 - None_0_T1	dnaE	GO593_14925	IX87_02905	-0.162030816786105	0.738742908592424
Colistin_0.44_T1 - None_0_T1	dnaG	GO593_10380	IX87_18520	-0.373663634522598	0.00269762613257397
Colistin_0.44_T1 - None_0_T1	dnaK	GO593_06350	IX87_14595	-0.691191807605404	0.00140981194538086
Colistin_0.44_T1 - None_0_T1	dnaN	GO593_06215	IX87_14440	-0.0213976048741122	0.597702150436862
Colistin_0.44_T1 - None_0_T1	dnaX	GO593_18020	IX87_06235	-0.0135622796980114	0.908903097399115
Colistin_0.44_T1 - None_0_T1	dsrEF	GO593_17830	IX87_21760	-0.0398864197521345	0.766333249563925
Colistin_0.44_T1 - None_0_T1	dsrH	GO593_17835	IX87_21765	-0.581971201758203	0.00743120727823363
Colistin_0.44_T1 - None_0_T1	dut	GO593_10610	IX87_01725	-0.21856176616132	0.879127092637851
Colistin_0.44_T1 - None_0_T1	dxr	GO593_17725	IX87_21650	-1.10499449757829	1.79080848663704e-07
Colistin_0.44_T1 - None_0_T1	dxs	GO593_04335	IX87_12270	-1.87591699642748	3.34974152259701e-12
Colistin_0.44_T1 - None_0_T1	efp	GO593_01245	IX87_08770	-0.191603952013537	0.988567916827755
Colistin_0.44_T1 - None_0_T1	eno	GO593_17305	IX87_20940	-0.823538333676564	0.0729986341074747
Colistin_0.44_T1 - None_0_T1	epd	GO593_12900	IX87_04760	-0.0739085051523096	0.990837273501583
Colistin_0.44_T1 - None_0_T1	era	GO593_01750	IX87_09265	-0.625276504804523	0.00239153363192352
Colistin_0.44_T1 - None_0_T1	erpA	GO593_06170	IX87_14395	-1.49971011442262	2.34009273414336e-07
Colistin_0.44_T1 - None_0_T1	etfA	GO593_02110	IX87_09640	-0.248139347604588	0.305246221417437
Colistin_0.44_T1 - None_0_T1	etfB	GO593_02115	IX87_09645	-0.512498394184752	0.132442993056285
Colistin_0.44_T1 - None_0_T1	etfD	GO593_08385	IX87_16440	-0.232721972972653	0.759127836655221
Colistin_0.44_T1 - None_0_T1	exbB1	GO593_08775	IX87_16865	0.0456478096105097	0.761323910218396
Colistin_0.44_T1 - None_0_T1	exbD4	GO593_08780	IX87_16870	0.0313106164474504	0.734645320067555
Colistin_0.44_T1 - None_0_T1	fabB1	GO593_07015	IX87_01850	0.0375837802662217	0.933066748034781
Colistin_0.44_T1 - None_0_T1	fabB2	GO593_10500	IX87_01850	-0.154991164637212	0.720563786306284
Colistin_0.44_T1 - None_0_T1	fabD	GO593_10275	IX87_18415	-0.184875284348655	0.964238818087849
Colistin_0.44_T1 - None_0_T1	fabG	GO593_10280	IX87_18420	-1.67576067464058	2.22623824413758e-11
Colistin_0.44_T1 - None_0_T1	fabI	GO593_09120	IX87_17170	-0.236133030594564	0.156223532541143
Colistin_0.44_T1 - None_0_T1	fabZ	GO593_17700	IX87_21625	-0.953324816728987	7.9159411600804e-06
Colistin_0.44_T1 - None_0_T1	fba	GO593_15425	IX87_02395	-0.961454280791863	0.000765922399706532
Colistin_0.44_T1 - None_0_T1	fbp	GO593_01960	IX87_09480	-1.00410381233215	0.000178917090275644
Colistin_0.44_T1 - None_0_T1	fdx1	GO593_10415	IX87_01930	0.0256530655591187	0.924907780857367
Colistin_0.44_T1 - None_0_T1	fdx2	GO593_15735	IX87_18960	-0.00672770764121428	0.99714594390047
Colistin_0.44_T1 - None_0_T1	fdxA	GO593_13635	IX87_04305	-0.880385257757124	0.000430816160008345
Colistin_0.44_T1 - None_0_T1	ffh	GO593_10155	IX87_18285	-1.40474696017169	2.06596563900334e-08
Colistin_0.44_T1 - None_0_T1	fis	GO593_18685	IX87_06920	-0.313675330119498	0.995283353564264
Colistin_0.44_T1 - None_0_T1	fmt	GO593_06095	IX87_14320	-0.790679040551586	0.00101111088374007
Colistin_0.44_T1 - None_0_T1	folB	GO593_18475	IX87_06705	-0.141822206647815	0.977441979348315
Colistin_0.44_T1 - None_0_T1	folC	GO593_03340	IX87_11225	0.0861276742078602	0.958493580025676
Colistin_0.44_T1 - None_0_T1	folD	GO593_02360	IX87_09915	0.0730311221404296	0.861685339626261
Colistin_0.44_T1 - None_0_T1	folE	GO593_01065	IX87_08570	-0.85054960242972	0.00208570421061475
Colistin_0.44_T1 - None_0_T1	folK	GO593_09350	IX87_17415	-0.648420652358924	0.0048608273134917
Colistin_0.44_T1 - None_0_T1	fpr	GO593_00350	IX87_07570	-0.498232044905832	0.433849820458212
Colistin_0.44_T1 - None_0_T1	fpr1	GO593_10025	IX87_18155	-0.00433115666643188	0.328862749650176
Colistin_0.44_T1 - None_0_T1	frr	GO593_17740	IX87_21665	-0.79101742369404	0.00010317884206159
Colistin_0.44_T1 - None_0_T1	ftsA	GO593_05490	IX87_13690	-1.17473974341561	0.00075568498650646
Colistin_0.44_T1 - None_0_T1	ftsH	GO593_02400	IX87_09960	-0.27248127150127	0.000477713478974455
Colistin_0.44_T1 - None_0_T1	ftsI	GO593_04805	IX87_12845	-4.04844730453872	5.9199152575481e-21
Colistin_0.44_T1 - None_0_T1	ftsK	GO593_10560	IX87_01775	-0.0738429745722969	0.672211747616951
Colistin_0.44_T1 - None_0_T1	ftsL	GO593_04810	IX87_12850	-2.39168307758696	4.60724057220554e-12
Colistin_0.44_T1 - None_0_T1	ftsQ	GO593_05495	IX87_13695	-0.918263015317091	0.0782242851777993
Colistin_0.44_T1 - None_0_T1	ftsW	GO593_07760	IX87_15785	-0.0941729473445437	0.949111588880664
Colistin_0.44_T1 - None_0_T1	ftsY	GO593_17485	IX87_21135	-1.52890202983098	1.98261217618658e-08
Colistin_0.44_T1 - None_0_T1	ftsZ	GO593_05485	IX87_13685	-0.808304592395361	0.042732615206807
Colistin_0.44_T1 - None_0_T1	fur	GO593_10655	IX87_01680	-1.06834891051463	5.35578315373316e-05
Colistin_0.44_T1 - None_0_T1	fusA	GO593_10520	IX87_01830	-2.6149507543741	1.04305307988236e-19
Colistin_0.44_T1 - None_0_T1	gap	GO593_01650	IX87_09170	-0.570797979616336	0.235832251052441
Colistin_0.44_T1 - None_0_T1	gatA	GO593_02920	IX87_10765	-1.76811604071665	2.55220587140151e-06
Colistin_0.44_T1 - None_0_T1	gatB	GO593_02925	IX87_10770	-1.44814700177146	4.19184496634685e-09
Colistin_0.44_T1 - None_0_T1	gatC	GO593_02915	IX87_10760	-1.40409010589462	4.34318384765001e-06
Colistin_0.44_T1 - None_0_T1	glmM	GO593_05425	IX87_13615	-0.070188001032439	0.440054765119
Colistin_0.44_T1 - None_0_T1	glmS	GO593_05795	IX87_14025	-0.588718112395038	0.183714824081988
Colistin_0.44_T1 - None_0_T1	glmU	GO593_05790	IX87_14020	0.0150580023620411	0.840287086262108
Colistin_0.44_T1 - None_0_T1	glnA	GO593_01005	IX87_08130	-0.0158710611119326	0.999161948592466
Colistin_0.44_T1 - None_0_T1	glnS	GO593_18295	IX87_06515	-0.860776280963488	0.000297365388719492
Colistin_0.44_T1 - None_0_T1	gltX	GO593_04830	IX87_12870	-2.78999680603428	1.27280422618798e-17
Colistin_0.44_T1 - None_0_T1	glyA	GO593_00420	IX87_07645	0.110083016590284	0.0040409249836558
Colistin_0.44_T1 - None_0_T1	glyQ	GO593_04395	IX87_12345	-2.41314227450526	2.49130075243535e-19
Colistin_0.44_T1 - None_0_T1	glyS	GO593_04400	IX87_12350	-3.07772217340015	1.08009722270578e-17
Colistin_0.44_T1 - None_0_T1	gmk	GO593_04655	IX87_12640	-1.71925971141081	1.81452758950361e-08
Colistin_0.44_T1 - None_0_T1	gpmI	GO593_07690	IX87_15700	-0.0978733592610828	0.754587381143794
Colistin_0.44_T1 - None_0_T1	gpsA	GO593_00180	IX87_07400	-0.360959939907544	0.236825420037597
Colistin_0.44_T1 - None_0_T1	groEL	GO593_02305	IX87_09860	-0.0232097591660492	0.998566022999592
Colistin_0.44_T1 - None_0_T1	groS	GO593_02310	IX87_09865	-0.117658701633792	0.771102712518523
Colistin_0.44_T1 - None_0_T1	gtrOC1	GO593_03530	IX87_11425	-0.457020242956931	0.0445616490083812
Colistin_0.44_T1 - None_0_T1	guaA	GO593_07255	IX87_15245	-1.08519142631687	0.00017382030276337
Colistin_0.44_T1 - None_0_T1	guaB	GO593_05430	IX87_13620	-0.365836264751824	0.831241357674728
Colistin_0.44_T1 - None_0_T1	gyrA	GO593_02105	IX87_09635	-0.877673486702785	0.0102910223640772
Colistin_0.44_T1 - None_0_T1	gyrB	GO593_06205	IX87_14430	-0.709145699305771	0.0010523757877013
Colistin_0.44_T1 - None_0_T1	hemA	GO593_10375	IX87_18515	-1.32597663071283	1.1802909931014e-05
Colistin_0.44_T1 - None_0_T1	hemB	GO593_10710	IX87_01620	-0.800720187153596	4.66082210144006e-05
Colistin_0.44_T1 - None_0_T1	hemC	GO593_07835	IX87_15860	-1.43563525625613	2.40017186517878e-10
Colistin_0.44_T1 - None_0_T1	hemD	GO593_07840	IX87_15865	-0.0667893075730626	0.877929165510576
Colistin_0.44_T1 - None_0_T1	hemE	GO593_01090	IX87_08605	-1.29325091011459	0.000223997365054396
Colistin_0.44_T1 - None_0_T1	hemF	GO593_04345	IX87_12280	-0.627317073199165	0.000605595611691514
Colistin_0.44_T1 - None_0_T1	hemH	GO593_08405	IX87_16460	-1.2538487815912	3.06523405567178e-08
Colistin_0.44_T1 - None_0_T1	hemJ	GO593_10495	IX87_01855	-0.757112843468959	0.000502486859884422
Colistin_0.44_T1 - None_0_T1	hemL	GO593_01460	IX87_08985	-0.865518526230558	1.60911729299882e-05
Colistin_0.44_T1 - None_0_T1	hfq	GO593_18325	IX87_06545	-2.01119157651988	8.85123066129504e-11
Colistin_0.44_T1 - None_0_T1	hisS	GO593_09065	IX87_17115	-1.92245962400077	1.1310169743613e-16
Colistin_0.44_T1 - None_0_T1	holA	GO593_09140	IX87_17190	-1.15671134995412	0.000121989141961623
Colistin_0.44_T1 - None_0_T1	holB	GO593_15490	IX87_02330	-0.724511759531951	0.0626204523255001
Colistin_0.44_T1 - None_0_T1	hscA	GO593_15740	IX87_18965	-2.01866314017204	8.47249031835235e-16
Colistin_0.44_T1 - None_0_T1	hscB	GO593_15745	IX87_18970	-2.02848543321976	3.26155162062767e-09
Colistin_0.44_T1 - None_0_T1	ihfB	GO593_15565	IX87_02255	0.513420653262938	0.0172844356643625
Colistin_0.44_T1 - None_0_T1	ileS	GO593_06435	IX87_14685	-0.589352314911438	1.28947696063819e-06
Colistin_0.44_T1 - None_0_T1	infA	GO593_08615	IX87_16675	-2.13833892332424	1.78929469746397e-14
Colistin_0.44_T1 - None_0_T1	infB	GO593_08195	IX87_16250	-0.654466220876413	0.0210362270602284
Colistin_0.44_T1 - None_0_T1	infC	GO593_09390	IX87_17455	-0.860015404573081	0.00047356092293702
Colistin_0.44_T1 - None_0_T1	iscA	GO593_15750	IX87_18975	-0.378150903277836	0.71135037843158
Colistin_0.44_T1 - None_0_T1	iscR	GO593_15765	IX87_18990	-1.12463438136448	0.000612811480617013
Colistin_0.44_T1 - None_0_T1	iscS	GO593_15760	IX87_18985	-1.25738899476198	8.55633139752406e-06
Colistin_0.44_T1 - None_0_T1	ispB	GO593_02660	IX87_10240	-0.253269414577044	0.671883590451825
Colistin_0.44_T1 - None_0_T1	ispD	GO593_17290	IX87_20925	-0.21555812345738	0.488727909909405
Colistin_0.44_T1 - None_0_T1	ispE	GO593_10360	IX87_18500	0.0297956006594606	0.983050618641592
Colistin_0.44_T1 - None_0_T1	ispF	GO593_17785	IX87_21705	-0.0398918141139277	0.977442093711494
Colistin_0.44_T1 - None_0_T1	ispG	GO593_09060	IX87_17110	-2.25214709253908	2.05632041879881e-07
Colistin_0.44_T1 - None_0_T1	ispH	GO593_04650	IX87_12635	-1.23512096450483	0.00173986666436967
Colistin_0.44_T1 - None_0_T1	ispZ	GO593_03615	IX87_11540	-0.293523168483413	0.489229872581482
Colistin_0.44_T1 - None_0_T1	kdsA	GO593_17310	IX87_20945	-1.22355769682296	4.38391227174704e-07
Colistin_0.44_T1 - None_0_T1	kdsB	GO593_15485	IX87_02335	-0.323218345814696	0.0370268315273269
Colistin_0.44_T1 - None_0_T1	kdsC	GO593_13535	IX87_04365	0.0836738508997302	0.510833533923825
Colistin_0.44_T1 - None_0_T1	kdsD	GO593_13530	IX87_04370	-0.428227702121568	0.0816476910840215
Colistin_0.44_T1 - None_0_T1	kdtA	GO593_05390	IX87_13580	-0.212139938868712	0.987276312304807
Colistin_0.44_T1 - None_0_T1	lepB	GO593_01765	IX87_09280	-1.4097987974599	3.20319837097742e-09
Colistin_0.44_T1 - None_0_T1	leuS	GO593_09150	IX87_17200	-2.66268632807383	7.0473233363986e-11
Colistin_0.44_T1 - None_0_T1	lgt	GO593_08815	IX87_16905	-0.122535841866348	0.715240501849786
Colistin_0.44_T1 - None_0_T1	ligA	GO593_10190	IX87_18330	-0.29441295107754	0.723771405777769
Colistin_0.44_T1 - None_0_T1	lipB	GO593_02590	IX87_10165	0.0757728947923745	0.0584968858393879
Colistin_0.44_T1 - None_0_T1	lnt	GO593_08370	IX87_16425	-0.39236923037154	0.12453961468442
Colistin_0.44_T1 - None_0_T1	lolA	GO593_02640	IX87_10215	-0.69076164396838	0.21290952550686
Colistin_0.44_T1 - None_0_T1	lolB	GO593_10365	IX87_18505	0.0514004036438966	0.978256865785824
Colistin_0.44_T1 - None_0_T1	lolCE	GO593_02040	IX87_09570	-0.111070583973521	0.337683817513811
Colistin_0.44_T1 - None_0_T1	lolD	GO593_02035	IX87_09565	-0.895318248559722	0.00100640168663216
Colistin_0.44_T1 - None_0_T1	lptA	GO593_13545	IX87_04355	-1.38261152301357	8.28125254622954e-10
Colistin_0.44_T1 - None_0_T1	lptB	GO593_13550	IX87_04350	-0.211806836064549	0.977414447944565
Colistin_0.44_T1 - None_0_T1	lptC	GO593_13540	IX87_04360	-0.876552018423004	0.0274191168321767
Colistin_0.44_T1 - None_0_T1	lptD	GO593_15435	IX87_02385	-1.14646651623118	4.5215556087644e-07
Colistin_0.44_T1 - None_0_T1	lptF	GO593_07680	IX87_15690	-0.351194589044862	0.360277979277292
Colistin_0.44_T1 - None_0_T1	lptG	GO593_07685	IX87_15695	-0.599256389811747	2.9734011668964e-05
Colistin_0.44_T1 - None_0_T1	lpxA	GO593_17695	IX87_21620	0.223074805120684	0.862273194505533
Colistin_0.44_T1 - None_0_T1	lpxB	GO593_15950	IX87_19185	-1.63627083813668	2.04116435687606e-10
Colistin_0.44_T1 - None_0_T1	lpxC	GO593_05480	IX87_13680	0.843343698964698	3.42910586913447e-09
Colistin_0.44_T1 - None_0_T1	lpxD	GO593_17705	IX87_21630	-0.147671142197111	0.83141830975019
Colistin_0.44_T1 - None_0_T1	lpxH	GO593_18305	IX87_06525	-0.00383956395045131	0.992713513940511
Colistin_0.44_T1 - None_0_T1	lpxK	GO593_15480	IX87_02340	-0.204532534429743	0.586273677455585
Colistin_0.44_T1 - None_0_T1	lpxL	GO593_02025	IX87_09555	-0.287632173182397	0.583133037971518
Colistin_0.44_T1 - None_0_T1	lspA	GO593_06430	IX87_14680	-3.00459940580126	1.78071738834893e-16
Colistin_0.44_T1 - None_0_T1	lysC	GO593_12600	IX87_05125	-0.0481440283102521	0.988324807377819
Colistin_0.44_T1 - None_0_T1	lysS	GO593_11345	IX87_00530	-1.46937604867874	1.61578993674428e-05
Colistin_0.44_T1 - None_0_T1	marR1	GO593_12465	IX87_05280	-0.0196372664940966	0.98361806218403
Colistin_0.44_T1 - None_0_T1	metK	GO593_15290	IX87_02540	-2.02150831611779	3.41515918591229e-09
Colistin_0.44_T1 - None_0_T1	minC	GO593_10585	IX87_01750	-0.145639477006943	0.999221515985028
