condition	unique_name	AB19606	AB030	gene_mLFC	FDR
Imipenem_0.06_T2 - None_0_T2	pheT	GO593_09440	IX87_17510	-0.748462769647677	0.00323204151496557
Imipenem_0.06_T2 - None_0_T2	plsB	GO593_04255	IX87_12190	-1.37634088091171	1.00612025258485e-07
Imipenem_0.06_T2 - None_0_T2	pnp	GO593_08310	IX87_16365	0.142671223682264	0.89306670827413
Imipenem_0.06_T2 - None_0_T2	polA	GO593_09495	IX87_17560	-0.139187571525771	0.361857714035395
Imipenem_0.06_T2 - None_0_T2	ppa	GO593_07590	IX87_15590	0.139556678563842	0.717780002889324
Imipenem_0.06_T2 - None_0_T2	ppnK	GO593_00295	IX87_07515	-1.12407355922264	0.000128664709746741
Imipenem_0.06_T2 - None_0_T2	prfA	GO593_18520	IX87_06750	-2.12928651868601	2.11445549467426e-10
Imipenem_0.06_T2 - None_0_T2	prfB	GO593_05405	IX87_13595	-0.0502489441914454	0.999070427511612
Imipenem_0.06_T2 - None_0_T2	priA	GO593_08345	IX87_16400	-0.0517581268323509	0.908890530995244
Imipenem_0.06_T2 - None_0_T2	proS	GO593_03110	IX87_10975	0.454544819080158	0.313912727882665
Imipenem_0.06_T2 - None_0_T2	prs	GO593_10335	IX87_18475	-0.612799531912114	0.784589505949874
Imipenem_0.06_T2 - None_0_T2	psd	GO593_05715	IX87_13955	-1.17649928939943	2.15993623242078e-07
Imipenem_0.06_T2 - None_0_T2	pssA	GO593_03875	IX87_11800	-3.54053914507446	7.4011396658775e-29
Imipenem_0.06_T2 - None_0_T2	pth	GO593_10325	IX87_18465	0.855197712725353	4.61247831476871e-09
Imipenem_0.06_T2 - None_0_T2	ptrR	GO593_13345	IX87_07845	-0.195254834759167	0.452199912964562
Imipenem_0.06_T2 - None_0_T2	purA	GO593_12910	IX87_04750	1.06338882849937	1.21713577545458e-14
Imipenem_0.06_T2 - None_0_T2	purB	GO593_01340	IX87_08865	-0.059870502007153	0.70475601910592
Imipenem_0.06_T2 - None_0_T2	purU	GO593_08765	IX87_16855	0.333574789051689	0.00775709760904165
Imipenem_0.06_T2 - None_0_T2	pyrC	GO593_12050	IX87_05625	-0.268261761804888	0.0137003920509551
Imipenem_0.06_T2 - None_0_T2	pyrG	GO593_17315	IX87_20950	-0.93594679286966	6.63363743296392e-05
Imipenem_0.06_T2 - None_0_T2	pyrH	GO593_17745	IX87_21670	-0.97868147371987	1.19146302749136e-06
Imipenem_0.06_T2 - None_0_T2	rep	GO593_10605	IX87_01730	-0.765205455389025	0.180394032384709
Imipenem_0.06_T2 - None_0_T2	rho	GO593_09460	IX87_17525	-0.364778043315493	0.386010551606767
Imipenem_0.06_T2 - None_0_T2	ribA	GO593_04340	IX87_12275	-0.523028364449642	0.234007189660486
Imipenem_0.06_T2 - None_0_T2	ribD	GO593_07645	IX87_15655	-0.204240751946539	0.58430869444198
Imipenem_0.06_T2 - None_0_T2	ribE	GO593_07655	IX87_15665	-0.445105651901106	0.0839274713190973
Imipenem_0.06_T2 - None_0_T2	ribF	GO593_06440	IX87_14690	-0.861566018338374	5.39142369073909e-05
Imipenem_0.06_T2 - None_0_T2	ribH	GO593_05770	IX87_14000	-0.703828470510384	0.00128218025084598
Imipenem_0.06_T2 - None_0_T2	rnpA	GO593_06230	IX87_14455	-0.194212183994755	0.0650625580826558
Imipenem_0.06_T2 - None_0_T2	rpe	GO593_09690	IX87_17755	0.104757750218605	0.107164310393203
Imipenem_0.06_T2 - None_0_T2	rpiA	GO593_17400	IX87_21035	0.238126452427513	0.000624918372667257
Imipenem_0.06_T2 - None_0_T2	rplA	GO593_07940	IX87_15970	-0.0839340083274431	0.971139135902185
Imipenem_0.06_T2 - None_0_T2	rplB	GO593_04185	IX87_12120	0.657948218093093	0.0428302624789035
Imipenem_0.06_T2 - None_0_T2	rplC	GO593_04200	IX87_12135	0.238633346038466	0.914625063781821
Imipenem_0.06_T2 - None_0_T2	rplD	GO593_04195	IX87_12130	1.24613272351624	2.6405021015997e-07
Imipenem_0.06_T2 - None_0_T2	rplE	GO593_04140	IX87_12075	1.7620862964354	5.76328906370821e-05
Imipenem_0.06_T2 - None_0_T2	rplF	GO593_04125	IX87_12060	2.00482528098207	9.19857379071892e-07
Imipenem_0.06_T2 - None_0_T2	rplJ	GO593_07945	IX87_15975	0.838617143939476	3.16737680370798e-09
Imipenem_0.06_T2 - None_0_T2	rplK	GO593_07935	IX87_15965	-0.727831586274389	0.0545453884240224
Imipenem_0.06_T2 - None_0_T2	rplM	GO593_03770	IX87_11695	0.900338806279827	2.41779637076215e-06
Imipenem_0.06_T2 - None_0_T2	rplN	GO593_04150	IX87_12085	0.496441618971595	0.0863910587999266
Imipenem_0.06_T2 - None_0_T2	rplO	GO593_04105	IX87_12040	1.11519052660757	0.00100323846108346
Imipenem_0.06_T2 - None_0_T2	rplP	GO593_04165	IX87_12100	0.952381435910446	0.0251070939581039
Imipenem_0.06_T2 - None_0_T2	rplQ	GO593_04070	IX87_12005	-1.81514842638108	0.00463461846386216
Imipenem_0.06_T2 - None_0_T2	rplR	GO593_04120	IX87_12055	0.453036018319685	0.0210812668254997
Imipenem_0.06_T2 - None_0_T2	rplS	GO593_04595	IX87_12580	-0.153931252180639	0.352136349621572
Imipenem_0.06_T2 - None_0_T2	rplT	GO593_09415	IX87_17480	0.30554981276162	0.114049036196518
Imipenem_0.06_T2 - None_0_T2	rplU	GO593_02650	IX87_10225	0.552893031744491	0.237318855758199
Imipenem_0.06_T2 - None_0_T2	rplV	GO593_04175	IX87_12110	0.69690752268747	4.87841145899876e-06
Imipenem_0.06_T2 - None_0_T2	rplW	GO593_04190	IX87_12125	0.596863417684909	0.125695968768868
Imipenem_0.06_T2 - None_0_T2	rplX	GO593_04145	IX87_12080	1.34911919273268	0.00498617174773374
Imipenem_0.06_T2 - None_0_T2	rplY	GO593_10330	IX87_18470	1.42105943912994	6.76144576462078e-13
Imipenem_0.06_T2 - None_0_T2	rpmA	GO593_02645	IX87_10220	1.04944610944001	1.47279495550786e-07
Imipenem_0.06_T2 - None_0_T2	rpmB	GO593_08750	IX87_16810	-2.57889746163403	0.029761765237002
Imipenem_0.06_T2 - None_0_T2	rpmC	GO593_04160	IX87_12095	0.584687426646709	0.583311974501734
Imipenem_0.06_T2 - None_0_T2	rpmD	GO593_04110	IX87_12045	1.38923187499345	0.00531200552072434
Imipenem_0.06_T2 - None_0_T2	rpmF	GO593_10270	IX87_18410	1.70205783838939	1.57158821434858e-14
Imipenem_0.06_T2 - None_0_T2	rpmI	GO593_09410	IX87_17475	0.658615681044984	2.9706902142897e-06
Imipenem_0.06_T2 - None_0_T2	rpmJ	GO593_04095	IX87_12030	1.54026747681028	1.3491705725238e-11
Imipenem_0.06_T2 - None_0_T2	rpoA	GO593_04075	IX87_12010	-3.25766725997423	9.0182047651578e-11
Imipenem_0.06_T2 - None_0_T2	rpoB	GO593_07955	IX87_15985	-3.97361484758815	1.1316220714955e-14
Imipenem_0.06_T2 - None_0_T2	rpoC	GO593_07960	IX87_15990	-4.2860436376684	4.59446111902784e-12
Imipenem_0.06_T2 - None_0_T2	rpoD	GO593_02580	IX87_10155	-1.36609408755626	0.00122829184086364
Imipenem_0.06_T2 - None_0_T2	rpoH	GO593_00210	IX87_07430	-1.94129355544743	2.2984656838245e-16
Imipenem_0.06_T2 - None_0_T2	rpsA	GO593_15560	IX87_02260	-0.553243529680197	0.347145951559126
Imipenem_0.06_T2 - None_0_T2	rpsB	GO593_00870	IX87_07990	0.327613618395463	0.020271787274441
Imipenem_0.06_T2 - None_0_T2	rpsC	GO593_04170	IX87_12105	1.45696498390011	1.23763640787694e-05
Imipenem_0.06_T2 - None_0_T2	rpsD	GO593_04080	IX87_12015	-1.30305815007474	0.0211780646152959
Imipenem_0.06_T2 - None_0_T2	rpsE	GO593_04115	IX87_12050	1.03586492042889	4.06541666503022e-05
Imipenem_0.06_T2 - None_0_T2	rpsF	GO593_18615	IX87_06845	0.285658378416528	0.000497703013069154
Imipenem_0.06_T2 - None_0_T2	rpsG	GO593_10515	IX87_01835	-0.0546685315342076	1
Imipenem_0.06_T2 - None_0_T2	rpsH	GO593_04130	IX87_12065	0.69553635472441	0.0452724465810446
Imipenem_0.06_T2 - None_0_T2	rpsI	GO593_03775	IX87_11700	1.23557967525414	2.21215344080143e-14
Imipenem_0.06_T2 - None_0_T2	rpsJ	GO593_04205	IX87_12140	1.41381790849338	0.000208057364291323
Imipenem_0.06_T2 - None_0_T2	rpsK	GO593_04085	IX87_12020	-2.11314820632692	0.00132481250658128
Imipenem_0.06_T2 - None_0_T2	rpsL	GO593_10510	IX87_01840	0.812722119103582	2.63903613158078e-06
Imipenem_0.06_T2 - None_0_T2	rpsM	GO593_04090	IX87_12025	-2.24629329653889	0.000596059186759021
Imipenem_0.06_T2 - None_0_T2	rpsN	GO593_04135	IX87_12070	0.814898548739336	0.0384760984208959
Imipenem_0.06_T2 - None_0_T2	rpsO	GO593_08305	IX87_16360	0.294225055256779	0.0501922839264317
Imipenem_0.06_T2 - None_0_T2	rpsP	GO593_04610	IX87_12595	-0.352903595029957	0.724539346347665
Imipenem_0.06_T2 - None_0_T2	rpsQ	GO593_04155	IX87_12090	0.282139571596488	0.454821533752842
Imipenem_0.06_T2 - None_0_T2	rpsR	GO593_18620	IX87_06850	0.167969655696619	0.0795853017258786
Imipenem_0.06_T2 - None_0_T2	rpsS	GO593_04180	IX87_12115	1.20536832018728	0.000708678049025636
Imipenem_0.06_T2 - None_0_T2	rpsU	GO593_00120	IX87_07340	-0.599644971981939	0.0632694754864402
Imipenem_0.06_T2 - None_0_T2	sdhA	GO593_02535	IX87_10110	-0.266602167934807	0.0130452613342526
Imipenem_0.06_T2 - None_0_T2	sdhB	GO593_02530	IX87_10105	-0.643189243934086	0.072845415917787
Imipenem_0.06_T2 - None_0_T2	sdhC	GO593_02545	IX87_10120	-1.31811803917376	9.21272169934585e-07
Imipenem_0.06_T2 - None_0_T2	sdhD	GO593_02540	IX87_10115	-0.933063002093313	0.000187041602873932
Imipenem_0.06_T2 - None_0_T2	secA	GO593_03315	IX87_11200	0.400518692757802	0.000763233053142083
Imipenem_0.06_T2 - None_0_T2	secD	GO593_03585	IX87_11510	-0.0119868323071386	0.000216557089759297
Imipenem_0.06_T2 - None_0_T2	secE	GO593_07925	IX87_15955	-1.41692024241994	0.00131117499562672
Imipenem_0.06_T2 - None_0_T2	secF	GO593_03590	IX87_11515	0.132513792283824	0.299393868222694
Imipenem_0.06_T2 - None_0_T2	secY	GO593_04100	IX87_12035	0.25539891069695	0.358903817766584
Imipenem_0.06_T2 - None_0_T2	serC	GO593_02060	IX87_09590	0.00372521311257135	0.980147957590424
Imipenem_0.06_T2 - None_0_T2	serS	GO593_02630	IX87_10205	0.288280051332081	0.0235744954028702
Imipenem_0.06_T2 - None_0_T2	smc2	GO593_11915	IX87_05760	-6.66560899141393	3.78282914219596e-30
Imipenem_0.06_T2 - None_0_T2	ssb	GO593_05260	IX87_13440	-0.0482072342210846	0.968417829389955
Imipenem_0.06_T2 - None_0_T2	sucB	GO593_02510	IX87_10095	-1.32632681511468	0.00283462323642362
Imipenem_0.06_T2 - None_0_T2	tamA	GO593_18420	IX87_06640	-0.0707686821306886	0.999957065423556
Imipenem_0.06_T2 - None_0_T2	tamB	GO593_18415	IX87_06635	-0.19585656960454	0.683672091181366
Imipenem_0.06_T2 - None_0_T2	thiD	GO593_10295	IX87_18435	-0.31100270606252	0.150826301045051
Imipenem_0.06_T2 - None_0_T2	thiE	GO593_01465	IX87_08990	-0.354500995014951	0.507940434543746
Imipenem_0.06_T2 - None_0_T2	thiL	GO593_05780	IX87_14010	-0.285979808973267	0.154165858548467
Imipenem_0.06_T2 - None_0_T2	thrS	GO593_09385	IX87_17450	0.766707170675815	5.16022404915234e-07
Imipenem_0.06_T2 - None_0_T2	thyA	GO593_08800	IX87_16890	-3.57463290103483	7.31511357729737e-14
Imipenem_0.06_T2 - None_0_T2	tilS	GO593_09480	IX87_17545	-0.00323933269029122	0.994061027847802
Imipenem_0.06_T2 - None_0_T2	tkt	GO593_15295	IX87_02535	-0.682390386503856	0.0119995751478112
Imipenem_0.06_T2 - None_0_T2	tmk	GO593_01795	IX87_09310	-1.42565292385281	0.000135694692189784
Imipenem_0.06_T2 - None_0_T2	tonB	GO593_08770	IX87_16860	0.45900330646093	0.00077184483675312
Imipenem_0.06_T2 - None_0_T2	topA	GO593_08700	IX87_16760	0.485808809081001	0.0182323606894391
Imipenem_0.06_T2 - None_0_T2	tpiA	GO593_08165	IX87_16210	-0.946154422413337	0.000103820816834924
Imipenem_0.06_T2 - None_0_T2	trmD	GO593_04600	IX87_12585	-1.27623749253241	0.0137835840028059
Imipenem_0.06_T2 - None_0_T2	trpS	GO593_02490	IX87_10075	-1.35248967554168	0.0008706561260669
Imipenem_0.06_T2 - None_0_T2	tsaB	GO593_09665	IX87_17730	-0.0404360934091225	0.000693767677105617
Imipenem_0.06_T2 - None_0_T2	tsaC	GO593_07410	IX87_15400	0.0785824765777181	0.356548039194441
Imipenem_0.06_T2 - None_0_T2	tsaD	GO593_00115	IX87_07335	0.0361038543367279	0.376669798353417
Imipenem_0.06_T2 - None_0_T2	tsaE	GO593_18340	IX87_06560	-0.0157979872221665	0.39782951543433
Imipenem_0.06_T2 - None_0_T2	tsf	GO593_00865	IX87_07985	0.364232065157717	0.104308093216083
Imipenem_0.06_T2 - None_0_T2	tusA	GO593_08380	IX87_16435	0.567671472312319	0.0860990264966763
Imipenem_0.06_T2 - None_0_T2	tusD	GO593_17825	IX87_21755	1.12296342430284	1.30377443475809e-05
Imipenem_0.06_T2 - None_0_T2	tyrS	GO593_06155	IX87_14380	-0.618612371475028	0.115179407561656
Imipenem_0.06_T2 - None_0_T2	ubiA	GO593_00995	IX87_08120	0.00165903240343009	0.645022715198224
Imipenem_0.06_T2 - None_0_T2	ubiE	GO593_08265	IX87_16320	-1.13498129692496	0.0416075685846822
Imipenem_0.06_T2 - None_0_T2	ubiG	GO593_06510	IX87_14760	-0.0432266127868727	0.556495073846367
Imipenem_0.06_T2 - None_0_T2	ubiH	GO593_11930	IX87_05745	-0.124150752673711	0.972888938615092
Imipenem_0.06_T2 - None_0_T2	ubiI	GO593_11935	IX87_05740	0.000210125370083412	0.99616454490441
Imipenem_0.06_T2 - None_0_T2	uppS	GO593_17735	IX87_21660	-1.92796481923923	1.9472057703436e-13
Imipenem_0.06_T2 - None_0_T2	valS	GO593_02715	IX87_10295	0.699683882472492	3.39245179391683e-05
Imipenem_0.06_T2 - None_0_T2	wzx	GO593_06865	IX87_14860	-2.29898493665458	4.37159355095145e-21
Imipenem_0.06_T2 - None_0_T2	ybeD	GO593_02585	IX87_10160	0.715005022294178	6.9593651504253e-05
Imipenem_0.06_T2 - None_0_T2	ybeY	GO593_03925	IX87_11850	0.12028827442117	0.577439769615674
Imipenem_0.06_T2 - None_0_T2	ybgC	GO593_01925	IX87_09445	-1.1757275809804	0.00143135052754838
Imipenem_0.06_T2 - None_0_T2	yceD	GO593_10265	IX87_18405	1.13597644549043	2.15131330089688e-09
Imipenem_0.06_T2 - None_0_T2	ygfZ	GO593_03135	IX87_11000	0.137529433430412	0.776079933680283
Imipenem_0.06_T2 - None_0_T2	yidC	GO593_06240	IX87_14465	-2.81621777277556	7.70507340118342e-05
Imipenem_0.06_T2 - None_0_T2	yihA	GO593_04235	IX87_12170	-0.750425057540062	0.000315592550886612
Imipenem_0.06_T2 - None_0_T2	zipA	GO593_10185	IX87_18325	-1.57785864204834	3.94514904863378e-07
Imipenem_0.09_T1 - None_0_T1	GO593_00140	GO593_00140	IX87_07360	-0.144684659512486	0.989417978441181
Imipenem_0.09_T1 - None_0_T1	GO593_00515	GO593_00515	unknown	-0.324246603641653	0.912085099268666
Imipenem_0.09_T1 - None_0_T1	GO593_01975	GO593_01975	IX87_09495	0.339870783649101	9.18888349490146e-05
Imipenem_0.09_T1 - None_0_T1	GO593_02180	GO593_02180	IX87_09700	-0.0848673966259345	0.999999901004853
Imipenem_0.09_T1 - None_0_T1	GO593_05760	GO593_05760	IX87_13990	-1.57066575918845	1.07640262925614e-10
Imipenem_0.09_T1 - None_0_T1	GO593_06495	GO593_06495	IX87_14745	-0.276098777918947	0.819638204955646
Imipenem_0.09_T1 - None_0_T1	GO593_07290	GO593_07290	IX87_15280	0.00987188473676581	1.16215073719509e-11
Imipenem_0.09_T1 - None_0_T1	GO593_07665	GO593_07665	IX87_15675	-1.29589312946461	0.0149451140301594
Imipenem_0.09_T1 - None_0_T1	GO593_10640	GO593_10640	IX87_01695	-1.8588232417483	3.01717173816303e-12
Imipenem_0.09_T1 - None_0_T1	GO593_11535	GO593_11535	unknown	-0.0410352890009377	0.999999998434869
Imipenem_0.09_T1 - None_0_T1	GO593_11615	GO593_11615	IX87_00220	-0.247618357607014	0.991975551399025
Imipenem_0.09_T1 - None_0_T1	GO593_12335	GO593_12335	IX87_05435	-0.0684991363100264	0.99999969381003
Imipenem_0.09_T1 - None_0_T1	GO593_13170	GO593_13170	IX87_04465	-0.0578999719708417	0.99999999999936
Imipenem_0.09_T1 - None_0_T1	GO593_13175	GO593_13175	IX87_04460	-0.00831658694308279	0.999999987410229
Imipenem_0.09_T1 - None_0_T1	GO593_13215	GO593_13215	IX87_04190	0.0395724526432566	0.99480000164154
Imipenem_0.09_T1 - None_0_T1	GO593_13220	GO593_13220	IX87_04420	0.0247397972665992	0.999929836704829
Imipenem_0.09_T1 - None_0_T1	GO593_15125	GO593_15125	unknown	-0.185380303597939	0.999639981837024
Imipenem_0.09_T1 - None_0_T1	GO593_15205	GO593_15205	IX87_02640	-0.00902515144947047	0.999998740487631
Imipenem_0.09_T1 - None_0_T1	GO593_18140	GO593_18140	IX87_06370	-0.0157649808049366	0.999999926959674
Imipenem_0.09_T1 - None_0_T1	GO593_18720	GO593_18720	IX87_06955	-0.37707586370206	0.0331019811316705
Imipenem_0.09_T1 - None_0_T1	GO593_18760	GO593_18760	unknown	0.0195872080277265	0.999191588302241
Imipenem_0.09_T1 - None_0_T1	GO593_18770	GO593_18770	unknown	-0.0239201840968049	0.999999999719129
Imipenem_0.09_T1 - None_0_T1	accA	GO593_09475	IX87_17540	-0.806147288448092	0.00287702451880532
Imipenem_0.09_T1 - None_0_T1	accB	GO593_17940	IX87_21900	-0.308372758292538	0.99333919788347
Imipenem_0.09_T1 - None_0_T1	accC	GO593_17945	IX87_21905	-0.676705295724932	0.0478176623556208
Imipenem_0.09_T1 - None_0_T1	accD	GO593_03345	IX87_11230	-0.629292729752497	0.000374760982964717
Imipenem_0.09_T1 - None_0_T1	acnB	GO593_18405	IX87_06625	-0.633148744054633	0.00125658622819762
Imipenem_0.09_T1 - None_0_T1	acpP	GO593_10285	IX87_18425	-1.37327042969021	0.0193992093366784
Imipenem_0.09_T1 - None_0_T1	acpT	GO593_09085	IX87_17135	0.0429040078749144	0.999882623326852
Imipenem_0.09_T1 - None_0_T1	adk	GO593_11470	IX87_00385	0.204860495965668	0.627401476224463
Imipenem_0.09_T1 - None_0_T1	alaS	GO593_12895	IX87_04765	0.830533713997813	0.000227930033404585
Imipenem_0.09_T1 - None_0_T1	argS	GO593_07295	IX87_15285	1.46331709145434	7.57424565836526e-17
Imipenem_0.09_T1 - None_0_T1	aroA	GO593_00260	IX87_07480	-0.323679267686049	0.991972351602219
Imipenem_0.09_T1 - None_0_T1	aroB	GO593_04740	IX87_12780	-0.450508022569811	0.5454057052954
Imipenem_0.09_T1 - None_0_T1	aroC	GO593_16070	IX87_19365	-0.0756751980484477	0.999999932708048
Imipenem_0.09_T1 - None_0_T1	aroQ	GO593_17935	IX87_21895	-0.47275712902259	0.649503029513766
Imipenem_0.09_T1 - None_0_T1	asd	GO593_08645	IX87_16705	0.0345364853760853	0.972550654287851
Imipenem_0.09_T1 - None_0_T1	asnC	GO593_13165	IX87_04470	-0.018810246538917	0.999999782733462
Imipenem_0.09_T1 - None_0_T1	aspS	GO593_03480	IX87_11355	0.773691114411267	0.00057526841276234
Imipenem_0.09_T1 - None_0_T1	atpA	GO593_07360	IX87_15350	-0.235533810693429	0.999149760254955
Imipenem_0.09_T1 - None_0_T1	atpB	GO593_07340	IX87_15330	-0.236308719468596	0.999521309810198
Imipenem_0.09_T1 - None_0_T1	atpD	GO593_07370	IX87_15360	0.119074031011189	0.936714482085785
Imipenem_0.09_T1 - None_0_T1	atpE	GO593_07345	IX87_15335	-0.228962914661477	0.725887836356708
Imipenem_0.09_T1 - None_0_T1	atpF	GO593_07350	IX87_15340	-0.205080613614877	0.999999263072967
Imipenem_0.09_T1 - None_0_T1	atpG	GO593_07365	IX87_15355	-0.154724209186439	0.991142353183417
Imipenem_0.09_T1 - None_0_T1	atpH	GO593_07355	IX87_15345	-0.275587073384991	0.789795060389904
Imipenem_0.09_T1 - None_0_T1	bamA	GO593_17715	IX87_21640	-0.60780234409106	4.52283559001532e-05
Imipenem_0.09_T1 - None_0_T1	birA	GO593_10165	IX87_18295	-0.0730153640059748	0.999999999985579
Imipenem_0.09_T1 - None_0_T1	cbdB1	GO593_13095	IX87_04580	0.0667910835612887	0.999754952888726
Imipenem_0.09_T1 - None_0_T1	cca	GO593_00945	IX87_08070	-0.0534297537605237	0.999999919592012
Imipenem_0.09_T1 - None_0_T1	cdsA	GO593_17730	IX87_21655	-0.690798222340955	6.89243134224635e-07
Imipenem_0.09_T1 - None_0_T1	cgtA	GO593_01635	IX87_09155	0.423238051124087	0.0912249064654936
Imipenem_0.09_T1 - None_0_T1	clpX	GO593_08945	IX87_16990	-0.143543106181223	0.998245190842994
Imipenem_0.09_T1 - None_0_T1	cmk	GO593_15555	IX87_02265	-0.169949882769414	0.99996405165785
Imipenem_0.09_T1 - None_0_T1	coaD	GO593_10410	IX87_01935	-0.172439809890197	0.999853734603686
Imipenem_0.09_T1 - None_0_T1	coaE	GO593_08145	IX87_16190	-0.152761435020331	0.993670013697983
Imipenem_0.09_T1 - None_0_T1	coaX	GO593_10160	IX87_18290	-0.171710958359717	0.91368265573492
Imipenem_0.09_T1 - None_0_T1	coq7	GO593_18430	IX87_06650	-0.11311361506502	0.999531659899469
Imipenem_0.09_T1 - None_0_T1	cptB	GO593_04055	IX87_11990	-0.0377194413743361	0.999999952939186
Imipenem_0.09_T1 - None_0_T1	cyoA	GO593_18590	IX87_06820	1.24324711868896	1.39738809254795e-07
Imipenem_0.09_T1 - None_0_T1	cyoB	GO593_18595	IX87_06825	1.01407057920793	2.71258746999665e-08
Imipenem_0.09_T1 - None_0_T1	cyoC	GO593_18600	IX87_06830	0.991617209612984	4.00635805198901e-06
Imipenem_0.09_T1 - None_0_T1	cyoD	GO593_18605	IX87_06835	0.748612924894934	8.29455477904234e-05
Imipenem_0.09_T1 - None_0_T1	cyoE	GO593_18610	IX87_06840	0.642513970734146	0.0021739797871482
Imipenem_0.09_T1 - None_0_T1	cysS	GO593_13525	IX87_04375	1.33699364656949	7.67273308352606e-09
Imipenem_0.09_T1 - None_0_T1	dapA	GO593_05915	IX87_14145	-2.84759320354649	6.14858928818849e-06
Imipenem_0.09_T1 - None_0_T1	dapD	GO593_01845	IX87_09360	0.24576291447642	0.597784199378624
Imipenem_0.09_T1 - None_0_T1	dapE	GO593_03060	IX87_10925	-0.0808457401228103	0.999999997672427
Imipenem_0.09_T1 - None_0_T1	dapF	GO593_02140	IX87_09660	-0.13473363741725	0.977895586429433
Imipenem_0.09_T1 - None_0_T1	ddlB	GO593_05500	IX87_13700	-2.13292379822522	3.65028958524872e-11
Imipenem_0.09_T1 - None_0_T1	def	GO593_07425	IX87_15415	-0.0860380951576851	0.999997043516964
Imipenem_0.09_T1 - None_0_T1	der	GO593_09080	IX87_17130	-0.825156738366975	1.78918589396331e-05
Imipenem_0.09_T1 - None_0_T1	desA	GO593_01430	IX87_08955	-0.0599888054634929	0.999999945555024
Imipenem_0.09_T1 - None_0_T1	desB	GO593_01425	IX87_08950	-0.42351693682691	0.398029574925175
Imipenem_0.09_T1 - None_0_T1	dfp	GO593_03595	IX87_11520	-0.0198034125368931	0.999835789926548
Imipenem_0.09_T1 - None_0_T1	dnaA	GO593_06220	IX87_14445	-0.607241886891702	0.160266978004101
Imipenem_0.09_T1 - None_0_T1	dnaB	GO593_18630	IX87_06860	-0.635308582327962	0.401799736801171
Imipenem_0.09_T1 - None_0_T1	dnaE	GO593_14925	IX87_02905	0.0398285277870965	0.99888975630507
Imipenem_0.09_T1 - None_0_T1	dnaG	GO593_10380	IX87_18520	-0.0560317506623665	0.999600056001973
Imipenem_0.09_T1 - None_0_T1	dnaK	GO593_06350	IX87_14595	-1.03288491054835	4.93712266055316e-06
Imipenem_0.09_T1 - None_0_T1	dnaN	GO593_06215	IX87_14440	-0.125619986793758	0.999228421899517
Imipenem_0.09_T1 - None_0_T1	dnaX	GO593_18020	IX87_06235	-0.0559592309197188	0.999752004345542
Imipenem_0.09_T1 - None_0_T1	dsrEF	GO593_17830	IX87_21760	0.242393057884828	0.340595314605671
Imipenem_0.09_T1 - None_0_T1	dsrH	GO593_17835	IX87_21765	0.52391740415065	2.4127475843719e-06
Imipenem_0.09_T1 - None_0_T1	dut	GO593_10610	IX87_01725	0.0258760857870354	0.99999738238933
Imipenem_0.09_T1 - None_0_T1	dxr	GO593_17725	IX87_21650	-0.622422739948199	0.000105731056095358
Imipenem_0.09_T1 - None_0_T1	dxs	GO593_04335	IX87_12270	-0.323574623812956	0.883830970874736
Imipenem_0.09_T1 - None_0_T1	efp	GO593_01245	IX87_08770	-0.0340250554399454	0.99999999999936
Imipenem_0.09_T1 - None_0_T1	eno	GO593_17305	IX87_20940	-0.510943240994573	0.937416067557993
Imipenem_0.09_T1 - None_0_T1	epd	GO593_12900	IX87_04760	0.0301973085866631	0.999874713041142
Imipenem_0.09_T1 - None_0_T1	era	GO593_01750	IX87_09265	0.496234855277059	0.0027041026712251
Imipenem_0.09_T1 - None_0_T1	erpA	GO593_06170	IX87_14395	-0.144484273660834	0.999999935191128
Imipenem_0.09_T1 - None_0_T1	etfA	GO593_02110	IX87_09640	-0.306676735403847	0.954907767352049
Imipenem_0.09_T1 - None_0_T1	etfB	GO593_02115	IX87_09645	-0.385451352738194	0.864898044824462
Imipenem_0.09_T1 - None_0_T1	etfD	GO593_08385	IX87_16440	-0.250362018406287	0.999858059337396
Imipenem_0.09_T1 - None_0_T1	exbB1	GO593_08775	IX87_16865	0.309018276997888	0.0494362779931806
Imipenem_0.09_T1 - None_0_T1	exbD4	GO593_08780	IX87_16870	0.259714404061847	6.80579227034911e-05
Imipenem_0.09_T1 - None_0_T1	fabB1	GO593_07015	IX87_01850	-0.0215819867749918	0.99999999999936
Imipenem_0.09_T1 - None_0_T1	fabB2	GO593_10500	IX87_01850	-0.0524157330250046	0.759244315731032
Imipenem_0.09_T1 - None_0_T1	fabD	GO593_10275	IX87_18415	-0.389190774850849	0.934532619440227
Imipenem_0.09_T1 - None_0_T1	fabG	GO593_10280	IX87_18420	-1.12437620239442	4.6487617537879e-06
Imipenem_0.09_T1 - None_0_T1	fabI	GO593_09120	IX87_17170	-0.144248997976992	0.982616419272085
Imipenem_0.09_T1 - None_0_T1	fabZ	GO593_17700	IX87_21625	0.243219764223643	0.997471967774482
Imipenem_0.09_T1 - None_0_T1	fba	GO593_15425	IX87_02395	-0.978024931379675	0.000598078694985635
Imipenem_0.09_T1 - None_0_T1	fbp	GO593_01960	IX87_09480	-0.667455925103324	0.0222121891318772
Imipenem_0.09_T1 - None_0_T1	fdx1	GO593_10415	IX87_01930	0.0228211051803381	0.999951681545701
Imipenem_0.09_T1 - None_0_T1	fdx2	GO593_15735	IX87_18960	-0.211790405701506	0.79017540126649
