locus_tag	gene_name
GO593_05495	ftsQ
GO593_15205	GO593_15205
GO593_01975	GO593_01975
GO593_04335	dxs
GO593_02115	etfB, fixA, ydiQ
GO593_18295	glnS
GO593_10360	ispE
GO593_04805	ftsI
GO593_07665	GO593_07665
GO593_05790	glmU
GO593_01090	hemE
GO593_18415	tamB
GO593_07685	lptG
GO593_17725	dxr
GO593_10500	fabB
GO593_07015	fabB
GO593_08380	tusA
GO593_08405	hemH
GO593_10165	birA
GO593_08215	phaE
GO593_17745	pyrH
GO593_06095	fmt
GO593_04070	rplQ
GO593_15485	kdsB
GO593_13095	benB
GO593_11470	adk
GO593_05480	lpxC
GO593_01650	gap
GO593_09980	nuoI
GO593_10265	yceD
GO593_03875	pssA
GO593_09955	nuoC
GO593_03765	pdxA
GO593_01880	GO593_01880
GO593_03585	secD
GO593_02310	groS, groES
GO593_02305	groL
GO593_08815	lgt
GO593_02660	ispB
GO593_00350	fpr
GO593_08145	coaE
GO593_05770	ribE
GO593_06230	rnpA
GO593_07255	guaA
GO593_01005	glnA
GO593_12335	GO593_12335
GO593_07760	ftsW
GO593_05760	GO593_05760
GO593_09120	fabI
GO593_18770	GO593_18770
GO593_04205	rpsJ
GO593_18405	acnB
GO593_04600	trmD
GO593_17825	tusD
GO593_11270	cynT
GO593_09150	leuS
GO593_04790	mraY
GO593_13165	GO593_13165
GO593_02510	odhB
GO593_17310	kdsA
GO593_00120	rpsU
GO593_04830	gltX
GO593_02140	dapF
GO593_04655	gmk
GO593_07930	nusG
GO593_16070	aroC
GO593_10285	acpP
GO593_12910	purA
GO593_03530	GO593_03530
GO593_09460	rho
GO593_01795	tmk
GO593_10655	fur
GO593_10410	coaD
GO593_04595	rplS
GO593_13530	kdsD
GO593_02535	sdhA
GO593_18615	rpsF
GO593_09390	infC
GO593_17835	GO593_17835
GO593_04200	rplC
GO593_03315	secA
GO593_18760	GO593_18760
GO593_15750	iscA
GO593_04100	secY
GO593_03775	rpsI
GO593_06495	GO593_06495
GO593_18430	GO593_18430
GO593_08310	pnp
GO593_04175	rplV
GO593_15415	pgk
GO593_04235	yihA
GO593_07960	rpoC
GO593_09410	rpmI
GO593_01845	dapD
GO593_18140	GO593_18140
GO593_09915	nrdA, nrdJa
GO593_00210	rpoH
GO593_17290	ispD, ygbP
GO593_08265	ubiE
GO593_06215	dnaN
GO593_13220	GO593_13220
GO593_07655	ribE, ribC
GO593_08615	infA
GO593_02640	lolA
GO593_07690	gpmI, gpmM, pgm
GO593_17870	moaE
GO593_03345	accD
GO593_09065	hisS
GO593_04255	plsB
GO593_15735	fdx
GO593_15475	msbA
GO593_12050	pyrC
GO593_10325	pth
GO593_00865	tsf
GO593_15480	lpxK
GO593_10295	thiD
GO593_13170	GO593_13170
GO593_01735	pdxJ
GO593_08945	clpX
GO593_04095	rpmJ
GO593_13175	GO593_13175
GO593_09060	ispG
GO593_04080	rpsD
GO593_04105	rplO
GO593_07350	atpF
GO593_05500	ddlB, ddlA
GO593_02920	gatA
GO593_08765	purU
GO593_17935	aroQ
GO593_11915	GO593_11915
GO593_02105	gyrA
GO593_04160	rpmC
GO593_01245	efp
GO593_17830	GO593_17830
GO593_04090	rpsM
GO593_15740	hscA
GO593_01465	thiE
GO593_04155	rpsQ
GO593_11535	GO593_11535
GO593_10190	ligA
GO593_07835	hemC
GO593_09905	nrdB
GO593_10575	minE
GO593_09040	ndk
GO593_10520	fusA
GO593_17305	eno
GO593_01425	desB
GO593_09475	accA
GO593_09415	rplT
GO593_02590	lipB
GO593_08075	pgsA
GO593_17695	lpxA
GO593_05795	glmS
GO593_10515	rpsG
GO593_07365	atpG
GO593_03135	ygfZ
GO593_08770	GO593_08770
GO593_18325	hfq
GO593_04075	rpoA
GO593_13215	GO593_13215
GO593_08165	tpiA
GO593_11935	ubiI
GO593_07370	atpD
GO593_13550	lptB
GO593_06440	ribF
GO593_17945	accC
GO593_04795	murF
GO593_15460	spoOJ
GO593_18605	cyoD
